,url,article
0,https://pspost.co,"Mail a personal card, no matter where you are!
Write your message
Choose a card & type your greeting. We print your words in a handwritten font.
Add a gift card
Select an e-gift card from our curated selection of retailers. We print it as a QR code!
Sit back & relax.
No long lines, no searching for the right card. We print, stamp, and mail your card for you!
Send A Hello They Can Hold
No stamp? No pen?
No problem!
We are the gift-giving-is-our-love-language kind of people. We’ve crouched in drugstore aisles, looking for that perfect card. We’ve waited in long lines to mail our carefully packaged gifts. And we’ve sent that boring e-gift card that got lost in their spam.
We’ve been there.
And we decided to never be there again.
People love PS Post
“
The ease of following through on a thought by sending a card with a couple keystrokes is totally growing on me!
Seriously, I think I’m hooked!
Theresa
“
I was at the airport when I found out a friend’s dad passed. With PS Post, I was able to send them a card before I even boarded the plane. Thank you."
1,https://pspost.co/3-examples-of-what-to-write-in-a-graduation-card/,"With every spring comes warmer weather and new beginnings. For many, it’s a time when they will embark on a new stage of life–a new grade in school or starting their first job. Spring graduations can be the perfect time to stop and celebrate not only everything a person has accomplished so far but also all that is in store for them in the future. They call it a commencement because it’s the beginning of something, not the end.
If you are celebrating a 2022 graduate this spring and you’re wondering what to write in a card, take a look at the 3 examples of graduation card messages.
What to write in a card:
For the kiddo graduating from preschool, kindergarten, or elementary school:
Congratulations! I have loved watching you grow up to be such a creative, smart, and fun kid! I am so proud of you, and I can’t wait to see what you will become when you grow up. But don’t grow up too fast! Enjoy being a kid and enjoy today. I love you.
P.S. Let’s go get ice cream to celebrate!
For the Gen Z’er who is graduating High School:
You did it!! Wow, these last few years have been hard on this whole planet, but especially for your generation. With delayed or canceled classes, proms, and school trips, you really went through a lot in your high school career. Think of the stories you’ll be able to tell! I am so proud of you and how you handled the many (so many!) challenges of the last 2+ years, and I’m equally excited to see what you do from here on out. Congratulations!
P.S. I think you’re snatched! (Did I use that word right? I googled it)
For the college graduate:
A big CONGRATS to you!! It seems like just yesterday I was watching you graduate from preschool, and now you’re graduating from college! It has been a true privilege to watch you grow up and now celebrate this next big milestone in your life. I could not be any prouder. Cheers!
P.S. Sorry America still hasn’t done anything about student loan debt
Now wipe away your tears of nostalgia and pride, and get that card in the mail! And with PS Post – mailing greeting cards from your phone or computer is easier than ever!
PS Post is the easiest way to mail cards with gifts – from any device to any mailbox, any time. Simply choose a card, write your personal message, add an e-gift card (we print it as a QR code!), and tell us where to mail it. You’ll have brought so much joy to their day with just a few clicks.
Have the inspiration to write a note to some right now? Here are some of our favorite graduation card designs for the graduate in your life:"
2,https://pspost.co/3-ways-that-giving-a-gift-is-surprisingly-good-for-you/,"Who doesn’t love the experience of opening a gift from someone, especially when it’s a gift they picked out just for you?
Regardless of whether it’s a gift-giving season or a simply thoughtful occasion, you can’t help but appreciate the sentiment when you’re given a special gift or card.
Brain Booster
It’s been proven that one gift impact for the person giving the gift is an increase in a bunch of chemicals that actually make you happier. Endorphins, serotonin, and dopamine are just a few. You know what they say–If you’re happy and you know it, send a gift!
Heart Healthy
Gift-giving from the heart is actually *good* for your heart! It’s good for your whole body, in fact! Giving someone “gifts for keeps” (aka things that won’t collect dust in their closets) can help to lower blood pressure and even help reduce anxiety!
Good Vibes
True benevolent gift-giving means you don’t expect a gift back in return, but karma has a way of rewarding thoughtful gestures anyway. Who knows, maybe you’ll be on the receiving end of a gift sometime in the future.
P.S. At PS Post, we can confirm that it feels oh-so-good to give gifts and cards–we get to do it all day every day! Check out our card and gift card options at PSPost.co, and experience the joys of gift giving firsthand!
P.S.S. The bee seed packet in the featured photo comes from The Peoples Bees’ unique blend of native pollinator flower seeds. The seeds are sourced from a small, independent, Colorado-based seed producer, and the flowers and grasses in the mixture are all native to North America (specifically the Rocky Mountain region). Learn more about The Peoples Bees work at www.thepeoplesbees.com."
3,https://pspost.co/about/,"We exist to make personal connection easy so that people feel valued and remembered – in the special occasions and the everyday.
PS Post mails beautifully designed, personalized greeting cards and e-gifts.
We’ve sat down in the aisle at the drugstore, looking for that perfect card; we’ve waited in long lines to mail our carefully packaged gifts that we *hope* make it safe and sound; and we’ve sent that boring e-gift card that got lost in someone’s spam. We’ve been there… and we decided to never be there again. That’s why we created PS Post!
Sustainability is at the heart of everything we do.
Living in Colorado and enjoying the incredible beauty of this great world has given us a deep sense of commitment to sustainability and responsible consumption. We care about our planet and we know you do too; so we are always working to make our products and process as sustainable as possible.
Reducing Plastic
Traditional gift cards often aren’t recyclable because they’re usually made of plastic that can’t be broken down; we’re here to change that. The printed QR code in our cards, your gift, keep those plastic gift cards from even having to be made.
Using Recycled Papers
The physical cards that you’ll send (and hopefully receive) are made using 100% recycled paper to help reduce waste and greenhouse emissions."
4,https://pspost.co/appreciation/,"Appreciation, Friendship, Graduations, Lifestyle, Writing3 Examples of What to Write in a Graduation Card Posted on May 12, 2022May 12, 2022 by Caitlin Spring graduations can be the perfect time to stop and celebrate not only everything a person has accomplished so far but also all that is in store for them in the future. Continue reading →"
5,https://pspost.co/best-birthday/,"Wondering how to surprise someone on their birthday?
Celebrate them the way they want to be celebrated of course!
The way you want your birthday celebrated is so important.
When we were growing up, my brother and I had completely opposite approaches to celebrating our birthdays.
I love my birthday. My best friend & I have celebrated half birthdays every year since we were 6 years old. I wanted a birthday week —better yet— a whole month.
My brother is like the character Ron Swanson (from the show Parks & Rec) when it comes to his birthday. It’s a sacred day — to not receive any attention whatsoever. The only time he wants the spotlight is when he is performing his music solo or with a band. I’ll probably get a call from him for even mentioning his birthday in a public blog (sorry bro!!! ily!).
An accurate comparison of how differently my brother and I celebrate ⤵️
Me:
My brother:
At PS Post, we believe the best way to honor someone’s birthday is to celebrate them how they want to be celebrated.
We’re expanding our birthday card selection so you can send a card that suits them best. Take a look at some of our newest birthday cards below!
spotlight: new cards
sentimental birthday cards, contemporary birthday cards, and unique greeting cards
For that someone who loves cheerful party decorations:
For the person who brightens your day, no matter what:
For someone who appreciates a simple birthday card and classic message:
Birthday wishes across the miles- birthday card etiquette
Birthdays are such a wonderful moment to put your loved one front and center (physically or metaphorically, of course!). How do they feel most loved? Most appreciated?
Share a favorite memory between the two of you, or celebrate one of their best character traits! Remember – even a simple “I’m thinking of you today,” can go a long way.
How to send a birthday card in the mail
We all want to know how to make birthday cards easy, especially for long distance birthday celebration ideas. PS Post is here to make sending personalized greeting cards a breeze.
With PS Post, simply choose your favorite card, write your message, add a gift card if you want, and then tell us where to mail your card! Send real mail, ordered right from your phone.
More birthday cards to choose from:
So what card did I send my brother this year? Hint: it was a unique birthday cards for him, though not a birthday card!
Tossing confetti in your direction,
The PS Post team
P.S. You deserve a little break. Might we suggest taking a few minutes to wiggle along to this birthday-related musical banger? We guarantee you’ll smile! (Note: positive message, NSFW lyrics)."
6,https://pspost.co/birthday/,"Birthday, Friendship, Gift Giving, LifestyleThe Best Way to Celebrate a Birthday Posted on August 24, 2022August 24, 2022 by Keller Anne Ruble Continue reading →"
7,https://pspost.co/blog/,"Our new sign & send experience has arrived!
💌 Schedule send, card previews, & more! 💌
No products in the cart.
PS Post
...
Birthday Friendship Gift Giving Lifestyle
Appreciation Friendship Graduations Lifestyle Writing
Spring graduations can be the perfect time to stop and celebrate not only everything a...
Appreciation Gift Giving Gratitude Office Professional Work
A simple “I admire your work ethic” can go a long way. We’ve compiled a...
Birthday Friendship Gift Giving Writing
It's easy to let something get in between you and someone's birthday. Whether you missed...
Friendship Gift Giving Lifestyle
Regardless of whether it’s gift giving season or a simply thoughtful occasion, you can’t help...
Friendship Galentine's Day Gift Giving Lifestyle Writing
Happy Galentine’s Day messages can be anything you want but don’t worry, we’re here to...
Friendship Galentine's Day Gift Giving
If your Galentine’s are separated by time and space, send them a Galentine’s gift that...
Friendship Galentine's Day Lifestyle
Some of the best Galentine’s Day party activities would, of course, include a Galentine’s Day...
Romance Writing
Who doesn’t love receiving a love letter from someone they care about? Whether it’s a...
Writing
Sometimes all it takes to win someone over, resolve an argument, or express deep appreciation...
Technology
Before the start of the pandemic, the question was “does anyone still use QR codes?”...
Sign up for the PS Post newsletter and stay in the loop on product releases, special offers, heartwarming stories, and more.
Username or email address *
Password *
Remember me
Log in
Lost your password?
Username *
Email address *
Password *
Subscribe to our newsletter
Your personal data will be used to support your experience throughout this website, to manage access to your account, and for other purposes described in our privacy policy.
Register"
8,https://pspost.co/business/,"PS Post for Business
Easily send personalized cards to your partners, employees, and clients
Easily send personalized cards to your partners, employees, and clients
We take gifting and correspondence off your hands, helping you maintain strong relationships with a service that is personal, yet efficient.
Pick a card from our extensive catalogue and add your personal message!
We can print your message in a handwriting font or use your real handwriting or signature.
Want to send more than a card? We offer the option to add one of several digital gifting experiences, which we print inside the card on a unique QR code.
Approve proofs of your final order, securely share your recipient list, and you’re done!
We’ll print, stuff, stamp, and mail your cards to all your recipients.
It’s the special time of year when we pause and say thank you for another season around the sun! Send your list a PS Post card + gift this year!
Birthdays are special. Make it memorable with a PS Post card. Make it easy on you with our recurring service option.
Everyone deserves to be remembered in the special occassions, and the every day. Send a PS Post card as a reminder that you’re thinking about them.
We can manage your recurring correspondence, so you have more time in your day to do what you do best.
Please fill out the form below and a member of PS Post’s team will be in touch within two business days.
Thank you!"
9,https://pspost.co/cards/,"1
Choose a card for the occasion
5×7″ cards, 100% recycled paper
2
Add an (optional) e-gift card and sign a personal message.
we’ll print it inside of the card
3
Sit back and relax, knowing your gift is in the mail!
PS Post to USPS to the mailbox!
5×7″ cards, 100% recycled paper
we’ll print it inside of the card
PS Post to USPS to the mailbox!"
