,url,article
0,https://driveway.app,"Driveway Blog
Put Digital Adoption on Autopilot
See how Driveway is saving teams dozens of hours a week.Learn more →
Learn more →
Hassan Yasin
Director of Product and Strategy, Elemy
How Driveway Works
Simple, fast, and easy walkthroughs.
Frictionless capture
No complex workflow builder
Using Driveway is as easy as clicking 'Start capturing', doing a workflow, and clicking 'Finish' once you're done.
Edit once, publish everywhere
Stop worrying about what's out-of-date
Driveway makes it easy to keep all types of training content up-to-date by letting you easily export to Google Docs, Notion, HTML, Markdown, .png, .pdf, and iFrame.
Tactile & interactive learning
Training your team can't ignore
Click ""Play Guide"" to have Driveway guide you through your workflow. Share your interactive walkthrough with anyone as a link.
Take a test drive
Get started for free.
Learn more about how Driveway can save your team time and help you get the most from your software spend.Start your free trial →"
1,https://driveway.app/blog/10-ways-to-speed-up-remote-employee-training-and-new-hire-onboarding,"10 Ways To Speed Up Remote Employee Training and New Hire Onboarding
Here are some actionable ways to make your remote employee training and new hire onboarding processes more effective.
4 min read
·
April 22, 2022
It is estimated that 16% of companies worldwide are now 100% remote. Most hiring managers also believe that having teams with remote workers will be the new norm. In addition, we will see more than 4 million Gen-Z'ers entering the hybrid workforce that is ready to embrace new ways of working.
So how can you create a standardized process to train new employees? Before we dive into actionable ways to make your onboarding process more effective for new hires, let's answer a few of the most common questions about remote employee training and new hire onboarding.
How is remote onboarding and employee training different than in person?
The risks of remote onboarding are obvious for employees who are shyer or less curious. The number one piece of advice for remote onboarding is to try and design something that works for everyone. It's much easier to tell if someone is uncomfortable or confused during your onboarding and training if it happens in person. Remote onboarding and training mean employers need to be more proactive in checking in on how learning is going.
How long does it take to onboard a new employee who is remote?
Gitlab reports it takes about two-weeks to onboarding a remote employee. We highly recommend checking out their guide to remote work.
These are just the bare essentials of getting an employee ready to do their job. In terms of getting your new hire fully productive, it's commonly recommended to have a 30-60-90 plan with individual goals at each of these key benchmarks. If you do go this approach, don't forget to schedule check-in's, or incorporate a review of 30-60-90 goals into your 1:1.
1. Encourage an open line of communication
Apps like Slack, Cisco Webex Messaging, Google Chat, and RocketChat could help foster an open line of communication. For example, with Slack, you can create team and group-focused channels with other employees. In addition, in remote environments, messaging apps facilitate communication and collaboration better than email messages.
2. Create interactive onboarding workflows
Onboarding at a new job can be overwhelming, with a lot of knowledge being shared and transferred. As a result, it’s potentially easy to let some information fall through the cracks, slowing down the ramp-up period. To prevent this, hiring managers can create interactive, standardized guides that new hires can go through at their own pace. With Driveway, employers can ramp up new hires quicker with interactive virtual onboarding how-to guides. In addition to guided product walkthroughs, you can copy to Notion and Google Docs and create interactive guides for any web app.
3. Create a progress tracker
Progress trackers are an excellent way to keep new hires motivated and excited about their position. Google sheets or platforms like Trello, Asana, and Monday, which build creative to-do lists, allow new hires to recognize their incremental progress. Progress trackers also help employees discern long and short-term projects while developing a portfolio from the work they have completed at a company. Lastly, remember that employee onboarding doesn't stop after their first two-weeks or 90 days. Continue to look for opportunities to upskill and cross-train your team
.
4. Consider a success roadmap
Success roadmaps are another great way to keep new hires aware of their expected workload and prioritize responsibilities. Platforms like Lattice are a great way to set goals and expectations and map out career development for long-term growth. Programs like Notion allow for new projects to be displayed and explained. You can group tasks by status, observe project assignees, and view deadlines for specific projects.
5. Embrace a new way of working
COVID-19 has forever changed the workforce, and employers need to recognize the new way of working. Between fully remote, hybrid, and in-person work options, it is essential to clearly define your company's expectations of how your employees show up to the office. Now with Microsoft Teams and Zoom plus other remote video conferencing platforms, employees can connect with you from anywhere. It's more important than ever that companies are investing in best practices and best tools for knowledge-sharing
to make up for the reduced communication in a remote environment.
6. Encourage taking regular breaks and some time off
Working long hours can take a toll on an employee’s mental and physical well-being. Therefore, employers need to promote a healthy work-life balance, especially with new hires. Encourage your employees, especially new hires to take regular breaks. Also, share the protocol for taking time off from work and promote your PTO policy as one of your company’s perks.
7. Make scheduling accessible
While the ability to work from remote locations can be a luxury, aggregating employees amidst virtual meeting schedules can become complicated. With meeting addresses changing from room numbers to links, it can be easy to confuse the virtual location or scheduling with others if dealing with different time zones. Take advantage of Google Calendar and keep your calendar accessible to your teammates, especially new hires to simplify scheduling meetings.
8. Set them up with the right WFH environment
Most hybrid and remote first companies now offer a work-from-home stipend. This allows employees to be equipped with everything necessary to succeed. This is particularly important for new hires to be set up to do their best work.
9. Check-in
It is essential to regularly check in with new hires in their first few weeks. Platforms like Hibob can help note employee development. Plan check-in meetings that allow new hires to highlight their progress, ask questions and share their feedback. Recognize accomplishments via shoutouts in group messages or larger meetings to boost motivation and a sense of belonging for all employees.
10. Keep it fun
The future of work is shifting in a direction where new hires look for purposeful jobs at companies with a fun work environment. Unique and positive company culture is now essential to hiring and retaining great talent. Consider adding Giphy to your Slack, after-work trivia nights, virtual get-togethers, and team bonding activities
. Attempt to utilize the benefits of collaboration tools within your virtual workspace to build camaraderie among employees."
2,https://driveway.app/blog/3-upselling-and-cross-selling-tips-to-improve-your-saas-sales-process,"3 Upselling and Cross Selling Tips you can Learn from Target
1. Cross Selling via Product PlacementUpon entering any Target store, one of the first sections you will encounter is the “$5 and under” section. More often than not, customers are willing to stop by this section just to see what cool and new items are available. Because everything in this area is low-cost, it is easy to throw a couple of $3 items in your basket and keep it going.
While digital products do not have a physical storefront, you’ve seen similar experiences virtually with pop-ups or banners. Good product placement puts the product directly in front of your customers when they are in a buying mood. For SaaS Sales teams, this means sharing your latest product updates or company press on LinkedIn, Twitter, or over email.
2. Upselling via F.O.M.O.The fear of missing out, abbreviated as F.O.M.O., can be used as an upselling tactic to appeal to your customer’s emotional buying patterns.
When Target places items on sale, they say “Limited Availability” or “Clearance and can do so as quickly as two weeks after merchandise is released. Labeling it this aggressively communicated the necessity to buy this now because it might not be here later.
Creating a language that appeals to a customer’s F.O.M.O. is key to upselling digital products. Words like “upgrade today” create a sense of urgency, meaning customers are more drawn into making a purchase.
In SaaS Sales, upselling via F.O.M.O. can be accomplished by offering your customers an incentive if they upgrade in a time window or sign before an expiration date. By including an additional feature or digital item, you make it harder to resist their fear of missing out on a one-time offer."
3,https://driveway.app/blog/best-crm-solutions,"What is a CRM?
Customer relationship management (often referred to as CRM) is essential to building successful companies and creating opportunities for your company to grow. CRM technology manages customer experience and helps with your growth team’s goals. When deciding what CRM technology to use for your company, it is essential to understand the different types of CRMs. Let's dive in!
Different types of CRMs
CRM software falls into three categories: collaborative, operational, and analytical, each serving a unique purpose based on your company's need. Collaborative CRMs allow for customer service information to be neatly accessed by various company divisions. Collaborative CRMs aggregate relevant customer information and facilitate your employees' shared knowledge of user experience. Interaction management and channel management are the key aspects of collaborative CRMs. Channel management deals with the marketing and interacting strategies your company enacts to appease customers. In contrast, interaction management deals with any employee or customer interaction, whether transactional or experiential. With collaborative CRMs, past and present customer information can be accessed company-wide to better understand a customer's needs and provide more accurate goals for all employees working together. Do I need a collaborative CRM?
If your business is customer-centric, then a collaborative CRM is beneficial. For example, a company with many customer-facing subdivisions (customer service, tech support, marketing division, etc.) can collectively utilize a collaborative CRM to create a better customer experience. Operational CRMs aid in a customer's streamlined experience with your company. Automated systems like call venters, lead sorting, and instant chat features are helpful. They eliminate tedious tasks that encumber employees. With a shared interface and organized automation, operational CRMs prove beneficial for day-to-day tasks.
Do I need an operational CRM?
Operational CRMS are great for companies that perform many sales functions. The CRM's automated features help get guide customers from start to purchase and can continue to support your customer network with service features. Software like SalesForce is an operational CRM that helps build customer relationships and provides an efficient experience for those interacting with your company's services. Analytical CRMs are digital tools that help your company collect, organize, and analyze data about your company. Large quantities of data can be challenging to navigate, but analytical CRMs take away the stress of this essential function. Analytical CRMs utilize company data at a greater capacity with trend analysis, financial reporting, sales forecasting, etc. Analytical CRMs are vital for cultivating critical projections and using your company's valuable information. Do I need an Analytical CRM? For a company that thrives on consumer trends and preferences, analytical CRMs is the way to go. Such CRMs will help you aggregate and enforce a large amount of valuable data that could ultimately lead to increased sales, fewer customer complaints, and a more profitable business.
Top CRM tools that are most common across companies of all sizes:
1. Salesforce
2. Zoho CRM
3. Bitrix24
4. Pipedrive
5. Nimble
6. Hubspot
The good news is that Driveway overlays on top of all of the leading CRMs, which makes it easy for your team to create how-to-guides with ease to get everyone up and running, and trained on how to best use them!"
4,https://driveway.app/blog/blur-sensitive-information,"How to blur sensitive information in guides
Redact sensitive information from your guides with AI.
2 min read
·
October 25, 2022
We're back with more updates and improvements. We're excited to share some new features that make editing and sharing your guides easier than ever.
— Auto-redact sensitive information from your screenshots
— Add new steps to your existing guides
— Engagement insights for guides in your workspace
Check out the video below and continue reading to learn more. 👇
🤖 AI-powered automatic redaction
Keep sensitive information secure by automatically redacting things like social security numbers, emails, addresses, and more from your Driveway guides. Just hit the ""Redact sensitive information"" button on any of your guides, and let Driveway take care of the rest or redact information manually.
🪜 Add more steps
Ever finish capturing a guide only to realize you missed a step? You can now add more steps to your guides for quick edits and updates. Click the ""Add steps"" button in the side navigation of any guide and select a browser tab to get started.
💍 Engagement insights
Last but not least, you can now see engagement insights for guides in your workspace. Click the view counter on your guides to see who's looked at your guide, how frequently they've viewed it, and where they might have gotten stuck.
And that's all for now! We hope you like these product changes. As always, please send any thoughts, feedback, or issues our way.
Does this work excite you?
We’re hiring a passionate and diverse group of people to help us build something special. Apply here
to our open positions or drop me a note at chris@driveway.app.
Take a test drive
Get started for free.
Learn more about how Driveway can save your team time and help you get the most from your software spend.Schedule demo →"
5,https://driveway.app/blog/driveway-customer-success-management-blog,"4 min read
·
August 4, 2022
Bootstrap the key functions of your business with free SaaS tools.Read article →
4 min read
·
July 27, 2022
Putting time and resources into a new feature is half the work; showcasing your update to customers and attracting potential clients is your company's ultimate goal.Read article →
3 min read
·
July 20, 2022
With more digital products than ever before, Sales Teams have to rethink how to upsell product enhancements and cross-sell accessories to keep up with competition.Read article →
2 min read
·
June 30, 2022
Building a brand and an online presence can help foster organic growth for your company. Here are quick ways to do it!Read article →
3 min read
·
June 22, 2022
CRMs are an essential part of your organization's growth team stack. Learn how to pick the one that's right for your team.Read article →"
6,https://driveway.app/blog/driveway-hubspot-blog-how-to-use-hubspot-for-customer-success-management-employee-training-growth-marketing-sales-enablement,"2 min read
·
November 9, 2022
Learn how to find, create, customize, and send Hubspot's email templates.Read article →
2 min read
·
October 24, 2022
Let's say that you have a lead who signed up for your newsletter but also downloaded an ebook.Read article →
3 min read
·
September 27, 2022
If you work in SaaS Sales you may have heard something along the lines of 70% of email responses come from the 2nd to 4th email.Read article →
3 min read
·
September 22, 2022
Here are 4 Customer Success Management skills for creating effective user onboarding and training.Read article →
4 min read
·
August 4, 2022
Bootstrap the key functions of your business with free SaaS tools.Read article →
4 min read
·
July 27, 2022
Putting time and resources into a new feature is half the work; showcasing your update to customers and attracting potential clients is your company's ultimate goal.Read article →
3 min read
·
July 20, 2022
With more digital products than ever before, Sales Teams have to rethink how to upsell product enhancements and cross-sell accessories to keep up with competition.Read article →
2 min read
·
June 30, 2022
Building a brand and an online presence can help foster organic growth for your company. Here are quick ways to do it!Read article →
3 min read
·
June 22, 2022
CRMs are an essential part of your organization's growth team stack. Learn how to pick the one that's right for your team.Read article →
3 min read
·
December 23, 2021
Announcing Driveway’s private beta and platform for learning and development in the future of work.Read article →"
7,https://driveway.app/blog/driveway-notion-blog-how-to-organize-your-notion-for-startup-teams-in-customer-success-management-employee-training-growth-marketing-sales-enablement-copy,"2 min read
·
November 9, 2022
Learn how to efficiently manage your tasks in Notion by creating sub-tasks. Our step-by-step guide will show you how to organize your to-do list, track your progress, and improve your productivity. Read article →
2 min read
·
November 9, 2022
Looking to streamline your team's workflow? Our step-by-step guide will take you through the process of setting up your workspace, customizing pages, and collaborating with your team in real-time.Read article →
2 min read
·
November 9, 2022
Notion API docs are helpful for explaining rate limits and tokens, but what about examples of how to use Notion's API and some of the most popular integrations?Read article →
2 min read
·
November 9, 2022
Notion API docs are helpful for explaining rate limits and tokens, but what about examples of how to use Notion's API and some of the most popular integrations?Read article →
2 min read
·
November 9, 2022
If you want to organize your Notion, consider making an index of synced blocks.Read article →
2 min read
·
November 9, 2022
How to hide, show, delete, and add backlinks.Read article →
2 min read
·
November 9, 2022
Linking is a great way to organize Notion. Here's how to hyperlink to another page or website.Read article →
3 min read
·
October 11, 2022
Let's say you're trying to make a pro & con list on if you should adopt a puppy...Read article →
Notion can help organize team projects, track progress and promote productivity. Here are some tips to help navigate Notion and better your working experience. Read article →"
8,https://driveway.app/blog/elemy-remote-onboarding,"TL:DR;
- About: Health tech, 1,000+ employees, onboarding a large operations team
- Before: Inconsistent, manual onboarding across Greenhouse & Salesforce
- After: Consistent up-to-date training docs automatically sent to new hires
Elemy is a tech-forward provider of Pediatric Behavioral Therapy. After their Series A, they needed to invest in their onboarding process for remote employees.
""Every time someone signed an offer letter, there was a ton we had to do to get them ready to start their job."" said Hassan Yasin, Director of Product and Strategy.
""We had so many new people joining and a process that was so manual, that most people didn't bother updating onboarding documentation.""
Over the next 18 months, the Elemy team would grow from 8 to 1,100 people.
""Now, not only can we use Driveway's Chrome Extension to write training documents for us, but those guides are automatically assigned once a candidate is hired in Greenhouse, and their guides are automatically shared on day one. Driveway is saving us literally dozens of hours a week in administrative work."""
9,https://driveway.app/blog/february-2022-product-update,"How to export screenshot guides to Notion & Google Docs
Over the past few weeks, we've focused on making guides easier to create and share with more intuitive controls and screenshots.
We're back with some more updates and improvements to Driveway
.
Over the past few weeks, we've focused on making guides easier to create and share with more intuitive controls and screenshots.
Continue reading to check out the latest changes and watch this video walkthrough
to see them in action.
Better controls 🕹
We've redesigned the controls you see while capturing a new guide, making them easier to read at a glance. We also moved them to the extension's popup window to help you focus on your workflow.
Once you've started capturing a new guide, click the extension to view the controls. We've also added a pause button so you can take a break and jump back in.
Cleaner screenshots 📸
These new controls will also no longer appear in your screenshots, meaning you get clean, presentable screenshots that are ready for their close-up.
We've also made it possible to paste new screenshots into your guides so you can easily edit, tweak, or add more steps and assets.
Coming soon: Live View ▶️
Share your guides as interactive overlays with Driveway's all-new Live View. With Live View, it's easy for your team to learn in the flow of work.
If you'd like to beta test this feature, you can schedule a demo on our website
or send us a note at hello@driveway.app
.
And that's all for now! We hope you like these product changes. As always, please send any thoughts, feedback, or issues our way.
Does this work excite you?
We’re hiring a passionate and diverse group of people to help us build something special. Apply here
to our open positions or drop me a note at chris@driveway.app.
Take a test drive
Get started for free.
Learn more about how Driveway can save your team time and help you get the most from your software spend.Schedule demo →"
