url,article
https://www.bruteforcetraining.com/blogs/bf,"Skip to content
Close menu
SHOP NOW
Sandbags
Classic Series
76 Series
Barebones Series
Gold & Silver Series
Best Sellers
Weighted Vests
Kettlebells
Bruteballs
Training Plans
Apparel & Accessories
Apparel
Weighted Filler
Sanddeck Workout Playing Cards
TRAINING
Sign up for Daily SandWOD
Training Plans (PDF & App)
What is ULOO?
About Us
FAQ
CONTACT
BLOG
Log in
Instagram
Facebook
YouTube
Cart
Close cart
Subtotal
$ 0.00
Shipping, taxes, and discount codes calculated at checkout.
Check out
Your cart is currently empty.
Search
Site navigation
SHOP NOW
Sandbags
Classic Series
76 Series
Barebones Series
Gold & Silver Series
Best Sellers
Weighted Vests
Kettlebells
Bruteballs
Training Plans
Apparel & Accessories
Apparel
Weighted Filler
Sanddeck Workout Playing Cards
TRAINING
Sign up for Daily SandWOD
Training Plans (PDF & App)
What is ULOO?
About Us
FAQ
CONTACT
BLOG
Log in
Search
Cart
Search
""Close (esc)""
View more
Brute Force Training - Blog
Weighted Sandbags for the Strongman Workout
How To Build A Home Gym
Functional Fitness Training
How To Build A Garage Gym
Brute Force Sandbags and Weighted Vests Help You Prep for Obstacle Course Training
5 Reasons to Try a 20 lb Weighted Vest for a Great Workout
Running With a Weighted Vest
CrossFit Training with a Weighted Vest
Weighted Vests for Women
Winning Sandbag Exercises for Spring
Sandbags For A Great Workout
5 Basic Fitness Movements Using Brute Force Sandbags
Four Benefits of Training with a Weighted Vest
10 Reasons Why Sandbag Training is Awesome
Your Weighted Vest Workout: Benefits and Ideas
The Best Piece of Running Gear You Haven't Heard About: Weighted Vests for Running
Hop on the Functional Strength Train
Are Sandbag Workouts Effective?
Unstable Load and Odd Object Training: Functional and Effective
5 Best Sandbag Workout Movements to Build Strength
Tactical Sandbag Training
1
2
Next
Sandbags
Weighted Vests
Kettlebells
""Close (esc)"""
https://www.bruteforcetraining.com/blogs/bf/10-reasons-why-sandbag-training-is-awesome-by-matt-palfrey,"1. It’s Affordable & Accessible
I started sandbag training because I didn’t have the time or the money to get to the gym or purchase any other equipment. My first sandbag was a 25kg plastic contractor bag of builders sand, taped up to seal the holes. Was it perfect? No. Did it get me off my ass and doing something? Most definitely. It also cost me less than $3. As I progressed I started adding these bags into ‘outer’ bags for extra strength and durability - I used an old hold-all and rucksack that I had spare in the house. This degree of affordability and accessibility is important as no one should feel like fitness is something unavailable to them.
2. You Can Do It Anywhere
Sandbag training doesn’t really require any additional equipment or specific location. Sure, there are plenty of additional pieces of equipment that will improve your results over time, but you don’t need any of that stuff to get started. It’s also an incredibly portable way to train. I take my sandbag with me when I’m traveling and fill it when I arrive.
3. Be Awesome Rather Than Just Looking Awesome
The bottom line is the vast majority of people who train with sandbags are more concerned with what they can do than how they look. If you walk into a gym with a pile of sandbags in it, you know those people are there to train. Only those in the know will really be able to appreciate that you’re doing superhuman work picking up that nondescript bag. That’s the polar opposite of the guy who picks up the biggest dumbbells and always looks around to make sure people have seen him. It takes real skill to control a sandbag while making the movement look impressive and you’ll probably spend most of your time looking like you’re wrestling an oiled hippopotamus. This is not a good look for posers.
4. It Makes You Feel Like Rocky
I train in my garage in all weather. Plenty of times I have to take a breather because my hands re too cold to grip my already frozen sandbag. Have you ever tried to lift a 90kg frozen sandbag? It’s the kind of thing that makes you pretty focused. I actually like the adversity element that comes with sandbag training. I’m there to get results, to make a real difference and, sometimes, to simply get through it. I don’t care that the other guy is training in a temperature-controlled gym, sipping his energy drink, with access to a whole range of expensive equipment. That guy is Ivan Drago. I’m Rocky Balboa, and I’m going to go the distance (possibly winning the hearts of the Russian people in the process).
5. It Really Does Compliment Other Training Methods
As opposed to a lot of health and fitness ‘experts’ promoting their systems, I’ll just say that sandbag training could be a great addition to your program rather than saying you should drop all that other stuff and do this instead (“no credit card required!”). Yes, you could use sandbag training as your primary form of strength work. I do and it works well for me. But you can also use sandbag training as accessory work for barbell, dumbbell, kettlebell, bodyweight, or any other form of training. Try including some sandbag lifts during deload weeks or during outdoor conditioning sessions like hill sprints. I know plenty of people who have dramatically increased their overhead lifts by supplementing regular barbell presses with sandbag variations, myself included.
6. Unlock A Whole New Range Of Exercises
The nature of the sandbag means you can use it for a range of exercises that are either impractical, or just plain impossible, with other traditional free weights. Sandbag training really comes into its own when you start including exercises like:
- Bear hug squats, step ups, lunges and carries
- Shouldering
- Drags
- Load carries of any variety
7. It’s Unforgiving
The sandbag has a constantly moving center of mass and, more often than not, will make you fight for each and every lift. This does a few interesting things, most notably it gives you a high return on the time and effort you put in. But I’ll be honest right now and tell you a lot of people don’t stick with sandbag training because it isn’t easy and there are very few glossy ads telling you it’s the thing to do. However, like most unconventional training methods it can also yield unconventional results. And sometimes unconventional results are just what you need to move forward.
8. It’s Like Totally Multi-Planar Dude!
While I love biomechanics and sport science, there is no denying it’s often used incorrectly to get you to A) buy something or B) follow a particular method. When discussing multi-planar movement it’s all too common for people to assume that every exercise needs to be performed in every direction for it to be effective. This is just plain nonsense and leads to the kind of programs that steadfastly refuse to incorporate exercises that haven’t literally just been invented there and then. Yes, multi-planar movement is important, but it’s not the be all and end all of athletic training.
Resistance against stress is a great way to work on developing your core strength and multi-planar capabilities. For most people, the ability to resist against movement in the sagittal (forwards and backwards), frontal (side to side) and transverse (rotational) planes is just as important as being able to move through them. The sandbag is a great tool for this as it forces you to control an unstable object through all planes, irrespective of whether you are moving in a particular direction.
9. It Makes You Better At Other Stuff
I’m a big fan of heavy barbell lifting (heavy anything for that matter). And I’ve had numerous conversations with people who are trying to improve their strength that typically raise concerns about their inability to lift as much weight in a sandbag as on a barbell. That’s true, especially when it comes to overhead lifts. But the thing about sandbag training is that it makes you very good at the stuff in between the lifts as well. You get good at the transitions.
You can’t overhead press a sandbag unless you can also clean it up to chest height. If you’re using a handleless sandbag (the choice of the purist) then you’ll also probably have to round back lift it from the floor like an Atlas stone. You may well be pretty tired before you even start your actual exercise and that will really test your mental fortitude. The same is true of many sandbag exercises - there are transitions to accomplish alongside the main lifts. Some would see this as detracting from the program, but I see the opposite. Sure, I like to lift max weight on a barbell from time to time. My sandbag work is something different though. Though I’m loath to say it, as it is always horribly over-used, sandbag training can therefore have a good transference into functional daily activities.
And that leads us nicely onto...
10. Sandbag Training Is Simple (But Not Stupid)
One of the greatest advantages of sandbag training is the intense challenge it can provide. I know I’ll certainly end up dumping the bag after a failed lift far more than I would with a barbell. This has the surprising effect of keeping sessions focused on the work at hand rather than lots of arbitrary additions that don’t really add anything.
One of my favorite sandbag training sessions is 20 ground-to-overhead lifts with a handleless sandbag filled to my bodyweight. It looks simple, even basic, but it never fails to leave me feeling as though I’ve had a great workout. This ethos of straightforward and effective training sums up sandbag training and how I feel about health and fitness as a whole.
Get Yourself A Sandbag
The alternative is to get a sandbag specifically constructed for use as a strength and conditioning tool. On the whole these will be considerably more durable and they will often have additional features such as handles.
-Matt Palfrey"
https://www.bruteforcetraining.com/blogs/bf/123651969-hop-on-the-functional-strength-train,"HOP ON THE FUNCTIONAL STRENGTH TRAIN
Have you ever had to move a load of rocks during a weekend landscaping project? Or had to cut some low hanging or diseased branches off that tree in the front yard? What you might notice as you complete these tasks is that they require a mixture of strength, balance and precise coordination. These skills can be learned and practiced within a solid functional strength training regimen.
The days of going into a gym and lifting barbells and dumbbells for hours on end are over. The trend in fitness is to take what you do in the gym and apply it to your life. This is how Crossfit and other ""movements"" were born. The revolution that has been taking place over the past several years is to make workouts directly adaptable to life. Most of the population isn't working out to compete in a bodybuilding or strength contest, but rather needs the strength and endurance to weather ordinary life trials. Of course bodybuilding and intense weight training will always have a place, but functional training allows real world training to take place every time you train.
One area of functional training that is easy to dive right into is sandbag training. The idea is to lift a sandbag with as much weight as you can manage and eventually form will follow function. In other words, as your strength increases with the sandbag movements, that same strength will carry over into other aspects of your life. Part of the advantage of training with a sandbag is that it offers an ever changing and shifting workload. The shifting sand forces your body to adapt to the weight in real time, just like you do in your everyday life. Think about the last time you helped someone move to another house or apartment. Think about carrying that couch up or down a flight of stairs and think about how you had to change grips or re-position your body to carry the couch over a railing. You can help prepare your body and muscles for all those awkward movements in part with a solid sandbag training routine. That shifting weight inside the sandbag challenges not only your muscles, but your mind as you think about how to control and stabilize that bag of sand.
The idea behind any functional training regimen is to prepare and protect your body for all the challenges you come across in everyday life. Of course if you already have a solid weight lifting routine, sandbag training can be added to fill in any gaps and also for the pure challenge it offers. Sandbags are a perfect entry point into a functional training regimen and also a great addition to almost any training program.
If you're looking for a quality sandbag that will withstand whatever you can dish out visit Brute Force Training has it.
Article Courtesy of Bryan Goodland"
https://www.bruteforcetraining.com/blogs/bf/5-basic-fitness-movements-using-a-brute-force-sandbag,"Fitness sandbags are versatile training tools you can use to build strength and improve overall fitness. The shifting nature of sand provides a unique workout that engages core and stabilizer muscles unlike traditional weight. In spite of its unwieldiness, the sandbag is a highly useful and effective tool to improve your overall strength and conditioning.
Who would benefit from fitness sandbags?
The fitness sandbags are particularly beneficial to athletes who are looking to improve power, strength, and speed for performance in whatever sport they prefer. For beginners, it is important to focus on form and keep things slow at first in order to effectively learn the movements.
Beginners usually start their fitness regimes with some basic sandbag exercises for about 20 – 30 minutes per session. We would advise you to start any workout regime with a warm-up, like jogging or jumping rope for 5-10 minutes. After the warmup, choose a sandbag weight which will feel comfortable enough to lift relatively easily during your fitness sandbag workout.
Here are 5 basic movements any beginner can use to get started with sandbag workouts:
Sandbag Back Squat
The sandbag can be placed across your shoulders behind your head while standing. Lower your body to a squatting posture, keeping the chest high and extending your hips backward. You should keep your weight on your heels. Your knees should not move forward of your toes at any point. Then, drive your hips forward and explode upward, returning to the original position.
Sandbag High Pull
Start with the sandbag on the ground with your body in the deadlift position. Grab the barbell handles and thrust your hips forward while standing up. Meanwhile, leading with the elbows and keeping the sandbag close to your body, pull the sandbag to chest level. Slowly lower the bag back to starting position for one complete rep.
Sandbag Overhead Press
Here, start with the sandbag resting on your arms at the chest level, and then extend the sandbag above your head. Your back should be kept rigidly straight and abdominal muscles need to be kept tight during the performance of this exercise. The shoulder muscles should be fully extended to lift the sandbag above your head and the elbows also should be straightened in the process, finishing the rep with elbows next to your ears. Then the sandbag is lowered back to the chest level and the exercise is repeated.
Fitness Sandbags Lunge
Start with the sandbag across your shoulders or in the overhead position. Step one leg forward while simultaneously lowering the opposite knee to the ground. Then stand up using the forward leg until you are fully upright. Keep your back straight and chest up and then repeat with the opposite leg. Lunges are an excellent way to isolate the larger leg muscles such as quads, glutes and hamstrings.
Start this exercise with the sandbag on the floor and feet shoulder width, hips back, knees over toes with a straight back and upright chest. With a firm grip on the barbell handles, extend your hips forward, and stand up while keeping your arms straight. When fully upright, your sandbag should hang just below your waist against your quads. Then, in a controlled manner, lower the sandbag to the floor to complete one rep.
The unique 8-handle configuration of Brute Force sandbags allows you to perform over 300 movements with this single piece of equipment. Available in 3 sizes to match any fitness or ability level, our sandbags are the best selling and most used in the industry. If you are newer to fitness, we recommend our Mini sandbag, adjustable up to 30 lbs."
https://www.bruteforcetraining.com/blogs/bf/5-best-sandbag-workout-movements-to-build-strength,"Sandbags have become popular in the functional fitness as an alternative to traditional steel weights. Not only are they portable, versatile and adjustable, but they also engages muscle groups differently than traditional barbells or dumbbells. Engaging these key stabilizer muscle groups not only gives a better total body workout, but also enhances neuromuscular coordination.
Power Clean:
The best exercise that engages nearly all muscle groups, the power clean is the powerhouse of the sandbag exercises. Good technique is key to avoiding injury, so make sure you never sacrifice form for repetitions. Starting with the sandbag on the floor in the deadlift position. As you pull the sandbag up your legs toward your waist, drive your hips up and forward in an explosive movement. Catch the sandbag in the front rack position. Cleans engage leg muscles such as quads and hamstrings at the beginning of the movement, but end up attacking traps, lats and arms as the rep is completed. Remember that neuromuscular coordination? This one tops the list for enhanced cognitive function while building strength.
Thruster:
The thruster is a full body movement using almost every muscle group, all while giving you a great cardiovascular workout. Start with the bag in the front rack. Go into a front squat and then as you extend, drive the sandbag fully overhead into a push press. Remember to finish the rep with full extension and ears in front of elbows, and repeat. String a few of these bad boys together and any athlete will be quickly humbled.
Bent-Over Row:
This is an isolated movement sandbag workout targeting critical back, shoulder and arm muscles, especially the lats and shoulders. Start in a squat stance, move your hips back and bend at the waist, keeping your back straight. Pull the back to your chest, making sure to keep the straight back and pinch the shoulder blades together as you finish the rep. For extra credit, slowly lower the bag back to the starting position over 3 full seconds. This eccentric movement pattern is a great way to efficiently train muscle and build strength quickly.
Romanian Deadlift:
Another more isolated movement, this one is all about those hamstrings. While they may not have the curb appeal of the quads, strong hamstrings are the foundation for functional movement and injury prevention. Start with your sandbag on the ground, feet slightly wider than shoulder width apart. Rather than bending the legs and lowering your hips like a traditional deadlift, this variation shifts the hips backward and bends at the waist. Legs should be slightly bent as necessary, but as you drive the hips forward and extend fully to the up position, you should feel the engagement almost exclusively in your hamstrings. If you feel it in your lower back, that is a sign that you are rounding rather than keeping your back straight as you complete the rep.
Split Squat:
This one is a real leg burner. You can do this with the bag with the bag behind your head on your shoulders, or to up the difficulty, in the front rack or bear hug positions. Start standing with feet roughly shoulder width apart, and step backwards with one leg into a lunge position. Keep your chest high and proud and go all the way down until your knee touches the floor, then step back up to the starting position. Alternate legs or do 5 - 10 on the right leg followed by the left leg. This under-rated movement not only yields killer quads and hamstrings, but also requires core and stabilizer muscle groups to fire in order to stay balanced on the way down, giving an added benefit.
While there are over 300-plus movements you can do with a single sandbag, these are some of our favorites that we make sure show up often in our daily workouts. Variation is great and necessary, but keeping some core movements in heavy rotation will help build strength and help give measurable results as you get stronger over time. Now grab that sandbag and go get after it!"
https://www.bruteforcetraining.com/blogs/bf/5-reasons-to-try-a-20-lb-weighted-vest-for-a-great-workout,"Weighted vests are a popular workout tool for both men and women. A 20 lb weighted vest is an excellent option for a low or high-impact workout. They have been proven to help burn more calories and improve overall conditioning.
The convenience of a weighted vest cannot be denied. It’s a grab-‘n-go!
The adjustable 20 lb weighted vest by Brute Force is an ideal weight for all your training needs. This simple one-piece design is easy to use and is a leader in weighted vests.
Here are 5 solid reasons to consider using a weighted vest in your next workout.
Versatility
A 20 lb weighted vest is an extremely versatile piece of training gear.
They are perfect for upping your game when you are speed walking, doing a variety of home workouts, or even for more complex cross-training routines.
The versatility of the Brute Force Training Vest 3.0 cannot be beaten. It's customizable and is the most comfortable weighted vest out there. The minimalist design hugs close to your body while allowing you to have unrestricted movement and easy breathing.
The added resistance of a 20-pound weighted sports vest is ideal for raising the level of your current cardio work and bodyweight training. It isn’t an overwhelming weight, however, you can add additional weight at any time, if so desired.
Your one vest can be easily used for both cardio and conditioning training, to help you become a better athlete or simply to get more toned and fit.
Affordable
There is a real pay-off to using a 20-pound weighted vest.
The Brute Force 3.0 vest is affordable and allows you to alter your workouts without the huge expense of some other equipment on the market.
Unlike the price of heavyweight equipment, the vest is a simple add-on tool to give you the desired intensity without the huge price tag.
Portable
A weighted vest is a convenient, all-in-one piece of equipment that can be taken with you anywhere.
There is no need to buy a huge weightlifting station that takes up valuable space in your home. Your vest is space-saving! It stores easily in your closet or gym bag.
Simply wear your 20-pound vest right over your workout clothes. The slim fit is easy to wear on hikes while training, without having to lug around a workout bag.
Nothing could be simpler. Just strap it on and begin your workout.
Strength and Endurance Building
Weighted vests provide the added weight needed for building your endurance and strength.
Carrying extra weight during your aerobic or training exercises requires more effort and after only a short period of weighted vest use, you will see your effort rewarded by how your overall strength and endurance have grown.
“One recent study found that weighted vest training improved blood lactate thresholds for runners. This means they were able to tolerate faster speeds for greater periods of time before fatiguing.”
Vests allow for better results. For example, if you utilize a 20-pound weighted vest in your running training, you will be amazed at your increased speed and endurance results when you train without the vest again.
We all wonder how heavy our weighted vests should be in the beginning. For beginners, try using a quarter of the max weight to start off with and gradually add on as you begin to feel comfortable with your vest and weight. If you have exercised with a weighted vest on before, use a weight that will give you more of a challenge when training.
Different weights will be good for different activities. Familiarize yourself with how to adjust the weight on your vest so that transitioning between exercises will be as smooth as possible.
Cardiovascular Benefits
When you train in a 20-pound weighted vest, your cardiovascular system works hard.
This extra effort helps to strengthen an athlete's lungs and the body’s ability to use oxygen. Weighted vests assist your cardiovascular system to deliver fresh oxygen, nutrients, hormones, and more to the organs and cells in your body.
Your cardiovascular system is very important to your overall health, and a weighted vest can aid in building up that strength.
The Final Lift
A 20-pound weighted vest is a versatile and important workout tool for men, women, and even older children.
A weighted vest is wonderful for increasing your overall cardiovascular health during your workouts and training. It can also add to your weight loss routine by helping you to burn more calories. Simply adjust your workout by adding your desired weight.
Whether you are a seasoned pro or relatively new to working out, a weighted vest can be the perfect workout tool to help up your game. It can deliver the results you desire, faster."
https://www.bruteforcetraining.com/blogs/bf/7-exercises-you-can-only-do-with-sandbag-training,"Sandbag training has taken the fitness world by storm over the last few years - and with good reason. The unstable load created by sand engages muscles differently than traditional equipment, and the added effort needed to stabilize the load enhances cognitive function. While many of the movements we use are similar to traditional weight training, here are some great exercises that can only be accomplished with a sandbag.
Brute Force Burpee
The exercise everyone loves to hate just got even harder. Start with the bag on the ground, do a pushup and then jump your feet forward, stand up and get the bag all the way over your head as efficiently as possible. This sandbag training is the real deal, and will quickly humble even the fittest athlete.
Bear Crawl and Drag
Bear Crawl and Drag is one of our favorite sandbag training exercise here at Brute Force HQ. A new twist on a classic, start in the bear crawl position with the bag between your hands on the floor. Crawl forward a few steps, then while balancing one one arm, use the other to reach back and pull the bag as far forward as possible. Continue alternating crawling and dragging and feel the burn in your shoulders.
Burden Carry Sandbag Training
Sometimes, it doesn’t need to be complicated to give a great workout. The simplest exercise on this list, or maybe on any list, is also one of the world’s oldest. Sling your sandbag over a single shoulder, or rest in behind your head across both, and cover some distance. That’s it. You will be surprised how quickly that sandbag gets heavy, and will gain an appreciation for our ancestors who used to have to carry food, water, and other supplies for miles.
Bear Hug Squats
Another classic movement with a sandbag training specific twist, the bear hug squat is just like a goblet squat, but rather than a kettlebell or dumbbell, squeeze the sandbag in a bear hug position - without the use of the handles. Don’t be tempted to rest the weight on your shoulder, as the bear hug position should keep the bag under your chin and use grip and arm strength to keep it in place.
Shoulder to Shoulder
Similar to a push press, this exercise has you shifting the sandbag from shoulder to shoulder via overhead press in order to really engage core stabilizers and showcase the unstable load. There is no real comfortable way to hold the bag as you change shoulders, and your arms will be screaming in no time.
Overhead Toss Sandbag Training
This one is great for building and enhancing neuromuscular coordination by engaging various stabilizer and neutralizer muscles. Start with the bag on the ground, get your hips low and explode upward as you throw the bag up and over your head behind you. Let go earlier than you think in order to achieve maximum height.
Shoulder Slams
Shoulder slams are a staple here at Brute Force HQ, and for good reason. Not only do they help us alleviate a little stress as we slam the bag into the ground, but the exercise is very functional from an evolutionary perspective.
While there are over 300-plus movements you can do with a single sandbag, these are some that you can't do with any other piece of equipment, so they're a fun addition to a more traditional workout.
Now that you've got some new moves to pair with your new gear, grab that sandbag and go get after it! If you're looking for more moves to build strength, check out our other article to level up your workout."
https://www.bruteforcetraining.com/blogs/bf/81487745-garage-gym-reviews-of-the-brute-force-sandbag,"What’s functional strength?
Being able to use your strength in environments that are outside of the gym. Such as lifting cars off of old grandma’s or rolling boulders up mountains.
One way to build this type of strength (or close to it) is by lifting things that aren’t precision calibrated like a barbell and bumpers.
A low tech device that is becoming more popular in functional strength circles is the sandbag. Sandbags provide a killer workout that you can do at anytime and anywhere. In my search for the best sandbag available, I stumbled across the fine folks at Brute Force.
Today, I’m going to review the Brute Force Sandbag and let you know whether it’s worth dropping your hard earned benjamins or not.
Let’s do it."
https://www.bruteforcetraining.com/blogs/bf/are-sandbag-workouts-effective,"One of the hottest trends in fitness-- sandbag training-- saw a massive increase in popularity during the pandemic. With over 300 movements with a sandbag, many are ditching barbell setups in favor of the versatility of sand. So how do sandbag workouts compare to traditional weight training? Let’s break down some of the key benefits.
Unstable Load Training Works More Muscle Groups
While traditional weight training focuses on isolating muscle groups, the sandbags engages smaller fixator and neutralizer muscle groups. You get the benefit of training your primary muscle groups and those that are not easily engaged. If functional fitness is the goal, sandbag training adds an extra layer of complexity to movements. Sandbags enhance overall gains when compared to static training. Another advantage is that when you force different muscle groups to work together, you are enhancing neuromuscular coordination. Not only are you building muscle, but you are actually giving your brain a workout as well.
Train From Anywhere
We all know that when it comes to fitness, consistency is key. The compact and adjustable nature of fitness sandbags allows the functional athlete to tarvel with them easily. Instead of uncomfortable hotel gyms, why not throw an empty sandbag in your carryon and fill it at your destination? A sandbag can be kept in your car so that you can crank out a quick but effective workout.
Dynamic Movements Lead to More Efficient Workouts
Incorporating dynamic movements into your workout such as power cleans, thrusters or burpees give you a total body workout that will leave you feeling completely drained with fewer reps and less time spent switching between movements and equipment. Formats popularized by Crossfit such as a 20 minute AMRAP (As Many Rounds as Possible) or descending repetitions (21-15-9) are short and sweet, but pick 3 movements and you have an instant sandbag workout on the go. The combinations are endless, and the results will speak for themselves.
Train Like the Pros
Find out why sandbag workouts are the top choice for professionals who rely on functional fitness for their livelihood. Sandbag training is the go-to choice for police, military and fire athletes who need to cultivate peak performance in order to succeed on the job. The unstable nature of sand more closely replicates real world situations than traditional weight training, providing a key advantage in the field - when it matters most.
Understanding the true versatility of sandbag workouts will help you achieve consistency, strength gains and metabolic conditioning like very few other pieces of equipment out there. Let’s take a look at a classic sandbag workout to see why so many functional athletes reach for their sandbag first.
Descending Repetitions, 21-15-9 of:
Bear Hug Squat:
Brute Force Burpees:
A favorite here at HQ, the Brute Force Burpee takes the exercise everyone loves to hate and takes it to the next level. Starting with the bag on the ground, grab the handles, kick your feet back into a front leaning rest, do a pushup and then pop your feet back to the starting position. Now lift the bag over your head from the ground, fully extending into an overhead press. That’s one.
Shoulder Slams:
Start with the bag on the ground, grab the suitcase handles and yank the bag up onto your shoulder while keeping your hips low and back straight. Stand up fully, and then with as much force as you can muster, slam the bag onto the ground. (Make sure you are on a smooth surface to prevent premature wearing of the material). Functional, practical movement patterns showcase the unique nature of sandbag training.
When combined, these three movements will hit just about every muscle in your body - including the hard-to-train secondary groups we discussed earlier. Each of these movements featured are also unique to sandbags, showcasing why this training tool has gained such popularity in recent years."
https://www.bruteforcetraining.com/blogs/bf/awkward-terrain-odd-objects-sandbag-training-for-ocr,"Why you should use sandbag training
Using a sandbag to work out is a form of functional training, and one of the best ways you can improve your speed, strength, and agility for OCR. It continues to grow in popularity and any serious adventure racer is sure to add the use of sandbags and heavy objects during all forms of training. Why? Because every Obstacle Course Race out there has you carry, drag or toss some sort of unstable, odd object... so you better train that way!
Brute Force Sandbag Training for OCR
One of the biggest benefits of using Brute Force Sandbag Training for OCR is that it develops real-life practical strength. A lot of the activities and challenges during an adventure race require practical strength such as lifting heavy objects, jumping, lifting yourself, and having to navigate obstacles. Training with a sandbag prepares you for more awkward scenarios that deal with heavier weights, increase your grip and forearm strength, and allows you to climb over or under objects more easily. The strength developed during sandbag training is different from basic weight training in that immense balance is required to safely and properly handle heavy sandbags. With a barbell it's easy enough to push a weight in the air, but it's a whole different ballgame when it comes to sandbags and other heavy awkward objects.
Many new muscles will develop and strengthen during sandbag training that you were unaware of. These muscles help even out any muscular imbalances between larger muscles and using a sandbag forces your body to stabilize in many different, yet beneficial ways. A sandbag is unstable and continually changing form, which makes it a challenge just to pick up and hold. Lifting it and throwing it is that much more difficult and requires a lot more skill and finesse compared to a typical bar based workout.
When it comes to optimally building muscles sandbag training must be incorporated into any fitness routine you're using to become a better OCR racer."
