,url,article
0,https://www.grayscalable.com,"Our Talent, Your Team
At Gray Scalable, our team of expert recruiters, consultants, and advisors can help you build the company you've always wanted, and the team you need to be successful.
Your People Partners
Our team of recruiting and HR professionals helps companies grow and evolve their people practices to match the standards of the world’s leading tech companies. From pre-Series A to post-IPO companies, we help build amazing teams and we develop customized programs that engage your people and advance your culture."
1,https://www.grayscalable.com/about-us,"Short Term Results And Long Term Value for Every Client
We get things done for clients in the short term and try to pack as many results into an engagement as possible, leaving behind products and practices of lasting value.
We Know Startups
Experience
Our team of recruiting and HR professionals helps companies grow and evolve their people practices to match the standards of the world’s leading tech companies.
Our Values
At Gray Scalable, we know that it's important for a company to define its values - and to live them. We embed our own company values into everything we deliver.
We do the right thing.
All the time. We do the right thing for our clients and for each other. We have a strong organizational moral compass and have built our reputation on making decisions and recommendations that are in the best interest of our clients. We sleep well at night.
We are open & honest.
With each other, and with our clients. We’ll always do this tactfully, diplomatically, and with purpose. We have the experience to fuel our courage of conviction; we have industry expertise, and want to share it with honesty and transparency.
We are authentic & inclusive.
We embrace differences and believe diversity of all kinds makes companies stronger. We expect all members of our team to share ideas and speak their truth. As committed partners, we also encourage and support diversity, equity and inclusion for our clients in every engagement.
We are true partners.
We structure our partnerships and projects so that our interests and our clients’ are 100% aligned on the same results. We don’t compete with our clients.
Charlie’s team is the best in NYC. They know how start-ups work and how to scale companies. You get real results and great advice too.
Focused On Your Goals
Partnership
From pre-Series A to post-IPO companies, we help build amazing teams and we develop customized programs that engage your people and advance your culture.
Our partnerships and projects are structured to be 100% aligned with client goals and objectives. At Gray Scalable, we don’t compete with our clients - we authentically support them in all they do."
2,https://www.grayscalable.com/blog,"Have you been grinding in hyper growth, constantly working towards a high ARR, profitability, and building a product for investors obsessed with runway? This is exciting and can be rewarding, but perhaps you have been there, done that or even - been recently laid off and are now wondering what's next. You are not alone. During this Great Layoff in the tech industry - many folks are craving something different and applying those tech skills to join a tech-enabled non-profit could be that rewarding and fulfilling next chapter in your career.
It’s that time of year again – the weather is getting colder, I’ve had at least two pumpkin spice..."
3,https://www.grayscalable.com/blog/2014/2/10/the-art-of-rejection-part-i-for-companies,"The Art of Rejection - Part I: For Companies
At Gray Scalable, we know how important it is to match the right candidates with the right companies. We hope every interview results in a perfect fit – but we also know that some of them won’t. Here’s part one of a two-part guide for both candidates and clients to brush up on The Art of Rejection. Check back next week for Part II – The Art of Rejection for Candidates.
I have a confession: rejecting candidates is the worst part of my job as a recruiter. I feel like a dream-killer, that messenger bearing bad news waiting to be shot. But over the years, I’ve found that the way I reject candidates makes a huge difference, and makes it less painful to do. When done right, rejecting candidates can go a long way to cultivate long-term relationships and build employer brands. Too much of a lemon into lemonade, you say? Read on.
For companies doing the rejecting, it’s a delicate dance. You need to be true to your hiring plan and maintain a high bar. But even the least qualified and most unlikeable candidates need to have a great experience as they interact with you and your company’s brand. And the candidates you really loved but couldn’t hire for whatever reason? You definitely need to give them the white glove treatment. Here are a few guidelines for how to reject people the right way:
Be Timely
Once you’ve made the decision, figure out the best timing for delivering your message. There’s a degree of subjectivity here, but most of the time, you probably don’t want to reject someone too quickly after meeting them for the first time. That can give the impression that they never stood a chance in the first place – or that you rejected them without giving it enough thought. And you pretty much never should reject them on the spot. But don’t let it fester too long either – don’t let candidates find out by default when they see you take down a job posting, for example. If possible, set expectations at the outset about when you’ll get back to them – say, after a round of interviews is complete, or after a week’s time. Set reminders in your calendar and follow through on your commitment.
Be Honest
There’s a tendency either to give way too much information, or to give none at all. Some companies are so risk-averse that they have policies prohibiting giving a reason for rejecting a candidate. My advice is to keep it human, keep it brief, and be as honest as you can be. In most cases, you can honestly say that you had to make a tough decision, and ultimately had to go with someone whose experience was a closer match to the job description. It’s better if you can give more details (were they missing some key skill?) – but it’s best to keep the topic of your feedback to objective measures like their skills and ability to do the job, and not their personality or culture fit. While a lot of companies leave the rejecting to HR or Recruiting precisely because it can be a sticky area, if you are the hiring manager, it’s important to be prepared with an honest answer to a follow-up call or email from a candidate who was rejected.
Be Nice
It’s hard to interview. It’s uncomfortable and emotional, and many times, there’s a lot riding on the interviews for the candidate. So, just be nice, but not overly so. Keep the feedback brief and objective, and don’t shy away from saying you enjoyed meeting the candidate – who knows, you may consider them again in the future, or you may end up working with them elsewhere in the future.
At the end of the day, you’re basically following The Golden Rule. Treat candidates as you’d like to be treated, and always keep your employment brand in mind. Everyone’s ultimately a potential customer!
written by Deb Feldman, principal consultant"
4,https://www.grayscalable.com/blog/2015/10/14/gray-scalable-30,"Gray Scalable 3.0
“If you are not embarrassed by the first version of your product, you’ve launched too late.” Reid Hoffman’s quote has become increasingly relevant to me as my little company grows and matures. I look back on some of the challenges of my first year - developing things from scratch for each new client, working out the logistics of multiple workplaces and managing part-time subcontractors - and I take comfort in the hindsight that can frame these as necessary stages of evolution for a company that aspires to do things in a new and better way. Experiments that had to happen (some successful, some not).
We’re a service business, not a product business, but three years in we are now launching Gray Scalable 3.0, with dramatic upgrades to our UI and our efficiency. Last year’s 2.0 added key team members and solidified the “service products” we offer our clients - now, we are prepared to really offer the depth and polish and long term value to these companies that were nothing but aspirational back in 2012, when we could only focus on plain and simple results.
The past few months have brought more great and diverse talent to the team, a new office, a new ATS, lots of exciting new clients and partnerships - and even new funding!
We are so excited about the next year. Stay tuned for more details."
5,https://www.grayscalable.com/blog/2016/10/11/moo77ddxmko1ld905x89pq17fmanxe,"Quantifying People Operations
Including Guest Post from Maia Josebachvili
It's no secret to our clients and our talent community that Greenhouse is one of our favorite products, favorite clients, and favorite companies. We loved their product since its launch 5 years ago, and it's been a pleasure to see them grow their teams (and help them once in a while). It has also been beneficial to our business to implement Greenhouse at client after client to help them scale.
We were also impressed when they asked Maia Josebachvili to head their people operations function a couple of years ago, with her amazingly versatile background and commitment to building high-performance organizations.
Last week, Maia published a framework for quantifying the importance and value of a great talent and people function. For executives that ask ""What's the ROI?"", Maia has provided the answer. I would encourage all practitioners of the people arts to read it here and find a way to apply it (or something like it) at your companies.
Thanks for sharing, Maia!
How to understand the ROI of investing in People
Articulating the return on investment (ROI) of People Practices is extremely challenging. Unlike other departments in the organization, the output of the People Team isn’t as directly tied to business outcomes and has few measurable outputs. Because of this, it’s difficult to demonstrate the absolute value of making investments in your talent or talent practices.
However even small improvements in hiring, onboarding, and managing talent can result in significant ROI for the business. In this whitepaper, I’ll walk through a case study that quantifies the return of a handful of People Practices and propose a framework to help you articulate the ROI of People Practices more broadly.
To help assess the business impact of People Practices I would like to introduce and define a new concept: using Employee Lifetime Value (ELTV) to compare the relative return of People Practices.
Defining ELTV
Employee Lifetime Value represents the total net value over time that an employee brings to an organization. The People Team’s job is to drive the organization to maximize ELTV. It can achieve this goal by developing and executing programs that impact the inputs that drive ELTV. When we put these programs into the context of the employee lifetime value, we can more clearly see their relative ROI and their contribution to the business.
This concept is illustrated in the graph below, which presents ELTV in terms of the employee lifecycle. The X axis represents time, spanning from the start date to the day the employee leaves and the Y axis represents employee output.
At the “Start,” an employee’s output is negative because they’re not yet doing anything to contribute to the team but they have consumed resources from the recruiting and hiring team.
They then ramp up productivity until reaching the next milestone, “Fully contributing”, where an employee has fully ramped up in their role.
At some point, an employee’s growth plateaus and they start to consider other employment options. They make the “Decision to leave.” Generally after this point their productivity starts to decrease.
Finally, an employee reaches their “Last day” at the company. Their output goes to zero at this point.
The 4 inputs of ELTV
The ELTV of the employee is represented by the gray-shaded area under the curve (the integral, for those who like calculus). The goal is generally to make this area as tall and as wide as possible. Note: This is a simplified version of the curve for illustration purposes. In reality, there are dips and valleys and it’s generally not as linear.
As illustrated, there are four ways to increase ELTV, or maximize the area under the curve:
These inputs can be loosely mapped to a handful of strategic People Practices, as presented below. In reality, each of these practices impacts the whole curve, but for the sake of illustrating the impact, I’ve isolated the variables.
Onboarding: A good onboarding program accomplishes two goals: 1) It decreases the time it takes an employee to become a fully contributing member, and 2) It significantly increases the likelihood that the employee will stay with the company long-term.
Hiring: An excellent hire has a higher maximum output from the beginning, plus has the added network effect of attracting and elevating other top performers.
Management & Development: Excellent management and development practices increase the value an employee brings to the organization over time.
Management & Culture: A strong management practice and positive culture are directly correlated with retention, which results in an increase in ELTV.
A note on the supporting data behind these statements:
The Greenhouse team did a thorough review of the existing research on these topics. While not exhaustive, we covered most of the major papers published in the last ten years. Our takeaway is that there is not nearly enough good research and data out there to draw precise conclusions about the impact of these practices. The information is directional and we feel comfortable making assumptions based on it, *and* we’d like to be a part of the movement to get more data created in this space. I've included the supporting data I used in an appendix below.
Case study | The impact of People practices on ELTV
To demonstrate the impact of these inputs, let’s consider two common scenarios. To illustrate how much impact even a small improvement in People Practices can have, I’ll use conservative assumptions for each input. In reality, the differences can actually be much greater.
- Scenario 1: A normal organization with average People Practices
- Scenario 2: An organization with slightly better, more optimized People Practices
We’ll use salespeople for our scenarios, as their output is more directly measurable than many other roles. Let’s assume that in both Scenario 1 and Scenario 2 the salespeople have salaries of $5,000/mo and quotas of $50,000/mo. Their projected output per month is $50,000 of revenue less their salary of $5,000, resulting in $45,000 net revenue per month.
An important note: For most roles, output will not be easily measured with one number. In those cases, you might perform a similar exercise, but just compare the different scenarios and assess based on relative value. Generally the differences will be compelling enough, even absent precise calculations.
Impact of Onboarding
Conservative assumption: A better onboarding program that encompasses pre-boarding, a deliberate new hire experience, and training can decrease an employee’s ramp time by 30%.
Impact of Talent Acquisition
Conservative assumption: A better hire —which can be achieved by taking a structured and data-driven approach to sourcing, interviewing, and closing—can outperform a peer by 20%.
Impact of management & development
Conservative assumption: Great management and development practices that involve coaching and training can improve an employee’s performance by 20% in a year.
The million-dollar revelation
If we continue the graph out over three years and assume that it takes 4 months to backfill the salesperson in scenario 1, the relative difference in ELTV becomes staggering. In the case study we walked through, the difference between average and slightly optimized People Practices for one salesperson over the course of three years is $1,300,000 in net revenue, or a 2.5x difference for the organization.
In this case study, the difference between average and slightly optimized People Practices for one salesperson over the course of three years is $1,300,000 in net revenue, or a 2.5x difference for the organization.
Applying ELTV to roles with less measurable outputs
The output of a salesperson is easy to measure. It becomes a lot harder to articulate the output of other roles that have less quantifiable impacts. However, the relative difference in ELTV between average versus great People Practices is so dramatic that simply comparing two scenarios can give you enough information to assess the ROI of a particular initiative.
We can apply ELTV to Engineering, but instead of “net revenue” on the Y-axis, let’s use an abstract concept of “engineering productivity”. In the sales case study, I assumed a 20% difference between the two salespeople. In engineering, I’ve heard some people say that a great engineer is 10xas good as an average engineer. For the sake of sticking with conservative assumptions, we’ll assume that difference in engineer #1 and engineer #2 is 3x.
The ELTV difference between these two engineering examples is 6.6x over three years. Put another way, that means that one engineer in scenario 2 can do the work of 6 engineers in scenario 1. That’s a staggering return on investment from a handful of People programs.
What this model isn’t trying to say
I’m really excited about this concept. And there’s one part of it that I hate. I hate that it implies that people are a number (i.e., their ELTV). For my entire career, I’ve prioritized building awesome teams and cultivating the best work environment I can. For me, investing in people, their development, and the way we all work together is the end goal. I want my team to grow, develop, make an impact, and have fun at work. If I had unlimited resources, I’d throw most of them into my people. BUT, unlimited resources is not the reality of most businesses. As an executive, I have to make hard choices about where to invest. And so I developed the ELTV model as a framework to help me justify and articulate all of the investments I think should be made in people. I sincerely hope that businesses use this framework in that lens, and realize that investing in your talent isn’t just the right thing to do, it’s the smart thing to do. Life is better when work is more engaging, more rewarding, and more fun, and it just so happens that we can make a case for that philosophy from an ROI perspective too.
Summing it up
- Use ELTV to assess the ROI of People Practices.
- ELTV inputs: hiring, onboarding, management, development, & culture
- When it’s not possible to calculate precise values, defer to comparing relative output. The differences are so significant that the ROI will be fairly obvious.
- Even small improvements in the inputs can have a dramatic impact on ELTV. In one of the case studies above, we saw a 6x difference in the ELTV of one employee over 3 years.
Appendix | Supporting data
- Google began onboarding new hires using a short checklist sent to managers the week before the new hire started. The result was 25% less time to get to full productivity (one month). (Work Rules, Laszlo Bock, p.295)
- Organizations with a strong onboarding process improve new hire retention by 82% and productivity by over 70%. (The true cost of a bad hire, Brandon Hall)
- Recruiting is the HR function with the highest impact on revenue. Excellent recruiting practices contribute to more than 3x revenue growth and 2x profit margins. (Realizing the value of people management, BCG)
- Companies that hire managers based on their management skills saw a 48% increase in profitability. (State of the American Manager, Gallup)
- 67% of Millennials believe it is management’s job to provide accelerated development opportunities to encourage them to stay. (Why and How People Change Jobs, LinkedIn)
- 1 in 2 employees left a job because of their manager, according to a survey measuring the engagement of 27 million employees. (State of the American Manager, Gallup)
- 36% of people switching jobs left because they were “unsatisfied with the work environment / culture” of their previous employer. (Why and How People Change Jobs, LinkedIn)"
6,https://www.grayscalable.com/blog/2016/10/21/gray-scalable-spotlight-emily-kraft,"Gray Scalable Spotlight: Emily Kraft
As a Tech Recruiting Consultant, Emily spends about half her time recruiting, mainly for engineering roles (anywhere from junior to executive), and half consulting, working with our clients to evaluate, measure, and iterate on their interview processes.
Her clients love her data-driven and thoughtful approach to recruiting - and have a hard time letting her leave at the end of her engagements! She build strong relationships with her clients and becomes a valued part of their team. As one of her teammates put it, “this girl runs meetings like a boss!”
Her favorite projects?
“Spring was my first client - the leaders I partnered with had this awesome mix of strong leadership ability and humility. It was incredibly exciting to help them build their team from the ground floor. They’ve gone from 30 employees to now over 100 and continue to be successful in a tough market - it’s been so rewarding to watch them grow!
Working with BuzzFeed has been fun because we got to work with engineering leadership to re-build their interview process from scratch. It's unusual to get to build a new process at a company as established and large as BuzzFeed!
On the flip side, I've worked with Namely on and off and have done more recruiting there than consulting, which I’ve also really enjoyed. It’s exciting to work on an HR product for HR people - one that is still being built and constantly evolving.
Last year I worked with Harry's and enjoyed them a lot, too, specifically because they're a company of really smart people that think critically about interviewing and hiring.”
Not only has Emily helped many of our clients hire some amazing engineers - as Scalable employee #3, she has also been an integral part of establishing Gray Scalable's tech recruiting process and brand. She continues to act as a sort of “social glue” that brings the Gray Scalable team together as more of a family than colleagues. For example, Emily brought the Gray Scalable team to Seattle this past weekend to celebrate her wedding! Congratulations, Emily and Nick!!!"
7,https://www.grayscalable.com/blog/2016/10/25/scalable-leadership-the-simple-truth-about-good-11s,"Scalable Leadership:
The Simple Truth About Good 1:1s
One of the training programs we deliver most often is Management 101, where we help educate managers on their organization's leadership principles as well as provide a refresher on management basics like 1:1s, performance management, comp conversations, etc. A lot of the managers we work with are first-time managers, as is often the case within start-ups, and a question that I always receive is a request for a template to follow for 1:1s. People want a script to follow to make their 1:1s as efficient (and as little work) as possible.
The truth is, there’s no magic script. And really, there shouldn't be.
1:1s are a manager's opportunity to connect with their employee and allow them the chance to be heard. They are not just another status update.
To that end, managers should be empowering their employees to own the 1:1. Rather than driving the conversation, they should be giving their team members an opportunity to discuss what they need - whether that's help problem solving, prioritizing or just venting.
It is a manager's job to set a regular 1:1, with enough time to have a meaningful conversation, and then make sure it happens, always. Then let the employee drive that conversation.
In his post, The Update, The Vent, and The Disaster, Rands in Repose offers a great perspective on reading the room in a 1:1 and responding appropriately. It is a useful road map to help categorize your employee's needs in a 1:1 and then make that meeting the most effective use of time possible. If there is any possible template for managers to use, this is the one.
written by Aja Deodato, Principal Human Solutions Consultant"
8,https://www.grayscalable.com/blog/2016/10/28/gray-scalable-spotlight-elise-sun,"Gray Scalable Spotlight: Elise Sun
Introducing Elise, our Tech Recruiting Associate a.k.a. Identifier, Generator and Stalker of Technical Talent
The tech landscape is constantly evolving, so Elise spends a lot of her time researching and learning about new technologies and how they impact what people look for in their next job. From there, she’s building connections in the industry and helping software engineers connect with awesome opportunities that align with their passions and strengths. Internally, she also serves as a project coordinator for the rollout of our new recruiting tool, and owns our talent community engagement strategy.
Elise’s natural intellectual curiosity makes her a fantastic sourcer - she always wants to learn as much as she can about our clients and roles she’s working on, which is part of why she has been so successful in engaging the best talent - who are also a great culture fit - for our clients.
Her favorite projects?
“Recently, I’ve been sourcing for Spreemo, Namely, and BuzzFeed. Getting to learn about each of their individual cultures, what their teams work on, and what their technical challenges are has been really awesome.
In particular, getting to help Namely grow their team during such an exciting time of growth has been so exciting - the energy and buzz around their office is palpable - they’re all really invested in what they’re building.
Great engineers are getting several messages each day about great opportunities. I love the challenge of figuring out how to relay the unique energy of each company we work with to prospective candidates to help them find the best fit.”
Like many of our team members, Elise is multi-talented. She’s a classically trained pianist who has performed some pretty amazing works… and she’s also been known to bring down the house with Biz Markie's ""Just a Friend"" on the karaoke stage."
9,https://www.grayscalable.com/blog/2016/11/1/iki6zoite4ghmqlxjvuoew6voudxus,"Perception matters in hiring. While employer brand will help you attract candidates, the main way a candidate interacts with your company is through the hiring process. And their experience during the process can make or break their decision to work at your company.
Candidate experience is a popular buzzword in the recruiting world, with tons of articles and blogs giving tips on how to improve candidate experience, suggesting everything from storyboarding the candidate experience to hiring a Candidate Experience Manager.
While these tips are mainly good, they make candidate experience seem more complicated than it is. At its core, candidate experience is about making sure your candidates are treated with respect during the interview process.
Luckily, there are many easy fixes that will help you win over candidates, even if you don’t have a ton of resources or time to dedicate.
Over-Communicate
Many of us have experienced the frustration of interviewing with a company, never to hear back again. Or going through three, four, or five rounds of interviews that cover the same topics.
These are issues that seem to plague companies of every size and stage. Recruiting is a tough gig that requires juggling tons of competing priorities, so keeping all candidates up-to-date at all times can be exceptionally challenging.
But for those companies that communicate well, it really sets them apart. Here are a few easy tips to better communicate with your candidates:
Explain your full process at the first phone screen.
It’s OK if you expect the interviews to take two rounds but may extend it to three, or if you’re not entirely sure what the full process looks like. Still, explain as much as possible about how many steps and how long the process usually takes.
Continuously set expectations about the timeline.
After each interview stage, let your candidate know when to expect to hear back, and stick with it! Even if it’s going to be longer than you’d like, letting candidates know that they will hear back in a week puts their minds at ease.
When in doubt, over-communicate.
More information is almost always appreciated, even if it’s a quick check-in to remind them you haven’t forgotten about them.
Treat Your Candidates Exceptionally Well
Don’t just be nice, be thoughtful.
Early in my career, an engineer I was working with told me a story about interviewing with a large company. It was six hours of interviews starting at 10am, with no break for food. By mid-afternoon, he was absolutely famished, and asked his interviewer if he could stop by the vending machine down the hall.
I believe that this level of oversight is relatively rare, but being diligent about treating your candidates well can definitely set your company apart.
If your candidate is meeting more than one person, check in with them throughout the day. This is super simple. Make it a point to check in with them, make sure everything’s running smoothly, grab them a cup of coffee, etc.
Find ways to go above and beyond. Is your candidate traveling to interview with you? Send them recommendations and tips for things to do in your city. Do they seem really excited about your company? Send them home with a t-shirt.
Keep in touch. There are always candidates that aren’t a fit right now - they decline your offer, you don’t have a team to put them on, or they’re too junior. Keep in touch with these folks! You may end up interviewing or hiring them again. Check in with candidates you really like, take them out to coffee or lunch on occasion, or invite them to events at your office.
Move Quickly (Within Reason)
The sales adage that time kills all deals is also true in the recruiting world.
In my experience, candidates view a speedy hiring process as a sign that your company is organized and on top of things, making them more likely to accept an offer. Even if the recruiting process is only a small reflection of your company, it’s one of the main insights candidates have into how your company operates.
Larger companies with hiring committees and multiple levels of approvals can move slowly when hiring, so for any startup or small company that doesn’t have a complicated process - use this to your advantage! Moving quickly will help you close candidates.
What it comes down to is putting yourself in the shoes of your candidates. Finding small ways to make your process less painful and more clear will go a long way in improving your candidate experience and increasing your offer acceptance rate!"
