url,article
https://propersky.com,"Security is the de facto way hackers break into your personal life. In this webinar, we review with real examples just what can happen if your email is compromised, what practical steps you can take to spot risks and how you can quickly improve your email security posture.
June 30th, 2020 @ 1 p.m. ET.
""Jim and his staff are very much embedded, which has meant a lot to all of us. Jim has been a really good partner and guided us through our technology-related challenges. Proper Sky has meant a lot to our business.""
""Proper Sky was the perfect solution to how we could manage our technology. They're excellent. We were able to bring in the whole Proper Sky team for less than it cost us to manage the IT ourselves and we're saving even more money now after they reviewed our vendors and contracts then when we started!""
""The problem is there aren't a million Jims. We love Jim. Every time I text him or call him, he's always there for us. He's amazing. I don't know what to say better than that I think he's incredible. I can't even remember the last time our server was down but I know just having a team to take care of our IT frees me up to focus on what we're best at. I recommend them to anybody I can.""
Is your business technology an asset or becoming a drag? Here are the top 5 signs you should be looking into outsourcing your IT to a Managed IT Service Provider.
While they primarily deal with email, Office 365 and G-Suite have become much, much more than just email. In this article, we’re going to be comparing 2 key products within these application suites: Microsoft 365 (which is different than Office 365) and G Suite Business Edition.
The most comprehensive guide to Managed IT Services. Provides the historical context of the need for MSPs, and the proven value they provide businesses today."
https://propersky.com/5-computer-hygiene-tips/,"5 Computer Hygiene Tips
How to Ensure Your Computer is Safe
There is no 100% foolproof way to ensure that your internet connected computer is safe from threats. However there are 5 common sense steps every computer user can take to protect themselves from typical threats.
- It starts with security updates. PC, Mac, Android, whatever. No matter what your operating system, anything from the manufacturer with the word “security” in the title should be downloaded and installed. For windows users, this is EXTREMELY important. This is your single best defense against malware.
- Don’t forget about your apps! Flash, Java, Chrome, Firefox, and Acrobat are also places you can get attacked. Keep ’em updated. Watch out for the checkboxes though!
- Get Good Antivirus. For most users MalwareBytes and ESET are a great place to start. Don’t let robot images fool you, these are good products and well worth the money.
- Trust, but Verify. Did your Uncle Kevin really travel to Belgrade and suddenly need $10,000? Does your daughter routinely send emails that need a password to open them? If the answer is probably not, then you probably should not open those emails. You carry the entire internet in your pocket! Text, facebook or call before you open.
- Get good Backup. We use a tightly integrated, custom cloud solution for our customers but there are some great products out there that are worth it. Crashplan, Carbonite and iDrive are well regarded. Everyone forgets about their photos and files until their gone.
There are many more, but we consider these our bases We start with OS security updates, followed by 3rd party updates, then good AV, user verification and finally backup. These 5 things make your computer and browsing much, much safer.
If you have any questions or concerns connect with us on your favorite social media platform or contact us the ol’ fashioned way!
No Comments"
https://propersky.com/5-signs-your-philadelphia-business-needs-an-outsourced-it-services-company/,"5 Signs Your Philadelphia Business Needs an Outsourced IT Services Company
All types of businesses in Philadelphia benefit from having dedicated IT resources and personnel on staff to ensure they can operate efficiently without being over-burdened by technical issues. Without dedicated IT resources in place, companies can suffer and experience reduced productivity, limited efficiency and increased downtime. However, hiring an in-house IT team can be costly, time-consuming and unnecessary.
So what can a business do to then? How can they get the support they need without all the overhead?
That is why many businesses choose to outsource their IT needs to a Managed IT Service Provider. This gives them the benefit from having expert IT personnel on hand whenever they need them, without incurring the on-going costs of hiring IT staff. Furthermore, using an established IT service company enables businesses to benefit from a wide-range of expertise and specializations, and will ensure that the business receives the breadth of professional IT services it requires. The key takeaway here is that they can acquire all these benefits for less than the cost of just one salaried employee.
If you’re still unsure whether you need help from IT professionals, these five signs may highlight the importance of having dedicated IT service providers in place…
1. You don’t have a cybersecurity plan
You wouldn’t leave your physical premises unlocked and unmanned, so why take the risk with your company’s digital assets? Cybersecurity should be a top priority for business executives, and your business needs to have effective security measures in place.
Cybersecurity threats come in many forms, so it’s vital to obtain professional advice and assistance when you’re devising an appropriate security strategy. Ransomware, malware, viruses, and phishing are common examples of cybersecurity threats faced by businesses, but more are being developed all the time.
If your IT network is affected by an online security threat, it can bring your business to a standstill. If your hardware is rendered unusable, for example, you won’t be able to process orders, update your inventory, communicate with clients or even liaise with colleagues in your own office. If your manufacturing or service deliveries are automated, these may come to an abrupt stop too.
Furthermore, online security threats can cause reputational damage, which could harm your business in the long-term. If a cybersecurity issue becomes public, customers and clients may lose trust in your brand and it can be difficult for businesses to recover from this.
In addition to this, you need to consider the legal implications of a breach of cybersecurity. With increasing legislation and regulations regarding the safe storage and processing of data, companies are being held to account when security breaches result in someone unauthorized gaining access to your company information and customer data.
With so many risks associated with cybersecurity, it’s essential that all businesses utilize Philadelphia IT services and implement effective security measures. In addition to creating and enforcing a dedicated security strategy for your company, outsourced IT specialists can respond to any cybersecurity threats as they emerge and ensure that they are stopped before any damage occurs. This ensures that your company’s operations and brand aren’t in jeopardy and enables you to continue functioning. In addition to this, utilizing outsourced IT services ensures your cybersecurity strategy can be updated to respond to emerging threats as and when they happen.
2. You’re spending time troubleshooting
When things go wrong with your IT hardware or software, you may spend an inordinate amount of time trying to get things back up and running. Whether your hosting provider has let you down, you’ve spilled a drink on your laptop, or your CRM system is failing to save new entries, any IT issues need to be resolved quickly and efficiently. With remote access to your network, IT specialists can resolve many issues via a single phone call, but an IT Services Provider in Philadelphia can also be on-site quickly to resolve more in-depth problems.
Unfortunately, many business owners assume that troubleshooting their own IT problems saves them money, but the reverse is often true. While you’re busy trying to resolve an IT issue, you aren’t able to focus on your core business areas. Depending on the issue you’re facing, business operations may be delayed until the problem is fixed, and this will cost you a significant amount in reduced productivity.
Indeed, businesses with more than one employee can suffer additional setbacks if multiple members of staff are attempted to troubleshoot IT issues. Without the intricate knowledge and expertise required, staff could inadvertently cause further damage to your IT systems. As well as damaging your network, this could also result in gaps in your security systems and may potentially leave your network vulnerable to hackers, ransomware or viruses.
While attempting to troubleshoot your own IT problems will inevitably cost you money in terms of reduced efficiency and productivity, it could lead to further losses if additional damage or vulnerability occurs.
By ensuring you have access to dedicated professionals, however, you can rely on them to resolve any IT problems quickly and comprehensively. Enabling you to focus on your core business areas and ensuring your systems are up and running swiftly, an outsourced IT service provider can save your company a significant amount in both the short and long-term.
3. You already have an IT employee
Companies often assume that hiring an IT professional will ensure they have all the IT support that they require. However, the vast majority of businesses require more than what one employee can realistically offer. While you may have a talented IT professional already on the payroll, if they’re overwhelmed and overworked, you could risk losing them completely.
In addition to this, IT is a growing industry and there are various different specializations. Your current IT personnel may have in-depth knowledge of cloud server management, for example, but may be unfamiliar with cybersecurity protocols. Similarly, your IT technician may be excellent at resolving hardware issues, but may not have experience in managing cloud-based integrations.
While an in-house member on staff who is dedicated to IT can certainly be advantageous for businesses, it doesn’t necessarily mean that they don’t require additional support. By supplementing your internal IT staff and using the services of an IT service provider, you can ensure that your existing members of staff have access to extra support when they need it. As a result, your company will benefit from the expertise of a range of IT professionals and be able to utilize a far wider range of tech.
4. Your business is growing
As your business evolves, your IT infrastructure needs to grow too. Start-ups and enterprises often begin with minimal IT resources, but this changes fairly quickly as they begin to establish themselves. Similarly, small and medium-sized businesses can only expand into larger companies if they have the IT systems to facilitate it.
When designed properly, an IT network can scale as your business grows. Without the right IT infrastructure, it may be impossible for your business to expand. As a result, you may only obtain a limited market share, be unable to expand your services and you could even lose clients and customers to competitors with additional resources.
When you rely on outsourced IT services, however, you can ensure that you have the appropriate infrastructure for your business. As well as ensure that your existing network and systems are suitable for your business now, dedicated IT experts can determine whether they are suitable for the business growth you’re aiming for and, if not, what modifications will need to be made.
Upgrading your IT network as your business grows opens up new opportunities and it can help your company to increase its revenue too. Companies which try to function with limited resources typically end up bringing in less revenue, so relying on a network which doesn’t meet your needs isn’t going to be cost-effective.
In addition to this, a growing business typically requires more support from IT professionals and technicians. As you become increasingly reliant on your tech infrastructure, you’ll require additional resources in terms of data storage, additional user privileges, new employee accounts, and problem resolution. Hiring in-house IT staff to manage these issues can be costly, but outsourcing your needs to a dedicated IT service provider enables you to access this support as soon as you need it for one low monthly rate.
With budget-friendly options to suit businesses of all sizes, outsourcing your IT needs gives you the flexibility you need as a growing business. Whether you’re moving from a sole proprietor to an incorporated company or a medium-sized enterprise to a national corporation, scalable IT support is crucial to your success.
5. You don’t have an IT strategy
Although IT is integral to almost every organization out there, a significant number of companies don’t have an IT strategy in place. While they rely on their IT systems and networks every day, businesses don’t always take a proactive approach when it comes to the impact their existing infrastructure has on their business operations.
Of course, there are thousands of IT products, platforms and tools available and keeping up-to-date can be a hard task. With many products claiming to offer increased productivity, streamlined processes and enhanced efficiency, how do you know which ones really deliver?
Here’s where professional IT experts come into play. With an in-depth knowledge of the industry, IT technicians are well-placed to determine which platforms and what software can help to improve your business functions. If you want to automate your e-commerce, for example, an experienced IT professional can help you to determine which platform is right for your business.
Technology is constantly being updated and improved and using the latest tools can ensure your business is operating at its maximum capabilities. In addition to this, by using the right tech options, you can engage with potential new clients and customers in a whole new way. This enables your business to market your goods and services more effectively and can lead to increased sales and profit.
However, these opportunities all begin with your IT strategy. Identifying how your IT can propel your business forward is critical to your on-going success and business growth. As your competitors switch to newer and more efficient tech, you could risk losing your customer base if you don’t keep up.
Outsourced IT companies are an ideal way to access the information and expertise you need to build a solid IT strategy. With a range of different specialties, outsourced IT professionals have the capability to identify appropriate IT solutions for your business needs, regardless of your sector or industry. Whatever your business goals are, IT professionals have the inside knowledge to ensure you can achieve them.
Perhaps you want to increase automation or streamline internal processes? Maybe you want to introduce new e-commerce options? You might be eager to reduce your costs by digitizing your inventory and restocking processes?
Instead of wading through thousands of IT products and trying to determine which ones are right for your company, an experienced IT service provider can provide you with the information you need instantly. Furthermore, when you consult an IT professional, they will be able to confirm which tools, services, and systems can be integrated into your existing tech set-up, which can save you time and money.
Whenever a company introduces new tech solutions, there can be some initial teething problems. As staff become accustomed to the new system, there may be an increased need for troubleshooting, for example. Engaging with an IT service provider doesn’t just help to ensure you have the right IT strategy in place, it also ensures that you have the resources you need as you implement this strategy.
When it’s time to install new systems, upgrade your hardware or train staff in new IT protocols, your outsourced IT provider will be able to offer the additional support you require. As a constant background presence, you can rely on outsourced IT services to step forward as and when they’re needed. Giving you IT support on a day-to-day basis and ensuring you have a forward-thinking IT strategy in place, an outsourced IT service provider will help to keep your business functional, as well as profitable.
–
For more information about IT Services, see our comprehensive guide on Managed IT Services, or to speak to a Managed IT Service Provider in Philadelphia, give us a call at (215) 305-8899 or send us an email.
No Comments"
https://propersky.com/6-types-of-managed-it-services-and-their-uses/,"6 Types of Managed IT Services and Their Uses
[9 min read]
Contemporary startups, small and medium businesses, and even large corporations see the value and potential of managed IT services. However, it can be challenging to identify what services you and your business may need, which systems you can use creatively within your company, and which operations you are better off keeping in-house.
Based on your managed service provider (MSP) and their services, you may want to explore different options and subscription packages. Find out which MSPs offer the services you need and how much those managed IT services cost. Usually, an MSPs managed IT service model allows you to choose which services to outsource based on your current technology and systems.
Check out our articles to help identify which managed IT solutions your business may benefit from and how to choose a fitting managed service provider. The articles can also help you recognize why you should use a managed service provider, which IT services you should manage versus keeping in-house.
To help you and your business begin managing your IT services, we’ve compiled six primary managed IT service categories and how companies use them.
While you can break down the types of managed IT services in various ways, we’ve categorized them by hardware and software.
Managed Networking
Typically, businesses with high-performance, secure, and traffic-heavy hosting and storage services will manage these services to avoid the costs of supporting data centers. Organizations with extensive cloud computing demands, dozens of web servers, or a need for massive databases will see particularly effective results managing networking tasks.
Additionally, startups and medium businesses using Wide Area Networks (WANs), Local-Area Networks (LANs), or Metropolitan Area Network (MANs) will contract with MSPs under a Service Level Agreement (SLA). This way, MSPs will manage the gateways, automated network support, and maintenance of operating these large networks.
On top of reducing work, managed wireless networks also reduce the ownership costs of supporting area networks. Ask yourself, “what managed network services do I need?” and see how your MSP can fulfill your requirements.
Managed Hardware
When businesses utilize offices for team members or plan on scaling into large work complexes, MSPs take a lot of the strain off such a transition. Desktops, servers, storage, user profiles, virtual administrative systems, and all the maintenance needed to run everything can cost SMBs time resources that they don’t have. On top of setting everything up, maintaining and monitoring the health of users’ systems is a whole operation of itself.
If organizations don’t have the talent to sustain strenuous IT hardware tasks, outsourcing the work to licensed professionals saves everyone headache. The last thing businesses need is their entire system to crash as they are stress-testing their servers for investors.
Managed Security
Passing on IT security to MSPs is one of the most common workloads we see in the world of managed IT services. When it comes to consumer data, businesses should implement every cybersecurity layer possible.
Network security involves arduous yet critical analyses of your business network, machines, and users to detect anything from suspicious activity to unintentional virus access points that could compromise your data and business. If organizations can’t commit the proper resources to ensure their network is secure, then contracting MSP security solutions is the safest and most ethical option.
MSPs can schedule data backups, monitor and control backup hardware, test backup restores, and create proactive ransomware and malware solutions. Hackers often prey on smaller businesses attempting to save money on their cybersecurity budget. Malicious internet pirates can nest themselves into a server for years without anyone noticing.
Managed firewalls are also an excellent way for businesses to outsource their cybersecurity while monitoring status reports and updating their hardware and software when needed. MSPs commonly include bundles of anti-hacker and security infrastructure management services into one package, allowing businesses to evaluate their security needs quickly.
Managed customer support services
Customer support services, also known as end-user services, include various IT assistance forms, like troubleshooting or remediating technical issues, providing IT helpdesks, and even labor addressing in-person issues.
End-user services can cover dozens of services. However, businesses typically opt for in-house IT support and assistance channels.
IT service desks, on-demand trained agents, and live monitoring and control solutions are more than enough for most businesses. This combination of services encompasses issues like mobile device support, operating system installation, software installation and updates, connectivity errors, and more.
While more established corporations may keep many customer support services in-house, it can be challenging for SMBs to provide support for the variety of It issues they may encounter. Using MSPs allows your IT teams to focus on more critical projects.
Information systems consulting
In some situations, designated experts can work internal to your organization, providing regular IT leadership, consultations, and advising. These professionals can help you plan out technological implementation strategies to ensure maximum ROI and effective execution.
MSPs providing consultations is rare, and most of the time, service providers sell them separately. However, for businesses without experienced talent or those in need of guidance, IT consultations can be how your team finds the right path to accomplishing your goals.
Managed cloud infrastructure
Today, we see more organizations utilizing cloud solutions than ever. Virtual apps, services, software, operating systems, and servers have unprecedented potential. After implementing cloud technology, a company’s limiting factor becomes a team’s creativity rather than technology.
Cloud and data management services are also becoming necessary for businesses creating increasingly ambitious products in a highly competitive IT market. Cloud-based resources allow organizations to accommodate scaling services and easily modify products for consumers.
In addition to providing innovative solutions to customers, employees can also enjoy the benefits of cloud technology. On-demand, web-based managed application services grant employees remote access to a company’s network and resources anywhere they go. Companies that use cloud-based web services often see increases in productivity as their employees have increased flexibility.
Managed cloud service providers will often supply and overwatch servers. These cloud servers also serve as backup and recovery data centers. Not only do these tools improve your IT security, but they also reduce your IT budget and create actual, predictable costs for extensive and developed cloud infrastructure.
Managed infrastructure can be one of the most powerful tools your business ever employs. We highly recommend analyzing your business needs and determining how you can incorporate cloud tools into your business model.
Some view outsourcing and managing IT services as an escape from developing as a business. However, managed service providers can be the ticket your business needs to succeed.
Small and medium businesses commonly benefit from the managed services provider business model. As your business scales, you can dynamically adjust which services you outsource and keep in-house.
Managed technology services complement business growth and provide your team with much-needed breathing room or your budget with the overhead it needs to stabilize. We highly encourage researching various remote managed services and even cloud security services to take your business to the next level.
No Comments"
https://propersky.com/about/careers/,"Work With Us!
Proper Sky is always on the lookout for amazing people. We’re looking for people that love technology, thirst for challenge and want to be part of a dynamic team of talented individuals. If you want to work with a great Managed Services Provider in the Philadelphia Area, check our our job listings. If nothing is open now, check back later. We’re always growing."
https://propersky.com/about/our-history/,"Great IT for Businesses of All Sizes
After working full-time while attending school part-time for nearly 7 years, founder Jim Smith decided to join the Peace Corps. Spending much of 2003 stationed in a tiny, amazing country in the South Pacific called Tonga, Jim learned a thing or two about information technology."
https://propersky.com/about/our-team/,"A Philly native, Jim studied Managed Information Systems at Drexel University. He served in the Peace Corps in Tonga, where — after facing the challenge of managing IT at a college of 400 students with no budget — he found his true calling of providing cost-effective IT solutions to small businesses and nonprofits. Jim is a leader in the enterprise security space, including policy, compliance, best practices, and lately, as a small business owner, on using metrics to consistently drive organizational improvements.
Joining Proper Sky in 2021, Cliff has over 20 years of experience and an aptitude for learning. Besides holding multiple industry and Microsoft certifications, Cliff also brings Operations, project management, and consulting experience with him. Cliff understands the value and power of leadership and managing people and projects enthusiastically with excitement and delivering results that wow customers.
Kalin’s interest in computers and information technology began at an early age; his mother taught programming and informatics at the local school, and she would take him with her to classes. Later, he attended Drexel University, where he became a “double dragon,” earning both a BS and an MS in information systems. Since October 2015, Kalin has been part of the Proper Sky team and is currently overseeing mission-critical systems such as remote monitoring and management and cloud- based services.
Finance has been in Shana’s blood from an early age. Prior to joining Proper Sky full-time in 2015, Shana privately consulted for regional companies in the areas of accounting, budgeting, and forecasting, with Proper Sky as one of her first clients in 2011. Leveraging this broad market experience, Shana joined Proper Sky full-time to help oversee the financial department, manage client relations, and execute on projects with team members.
Bill was Proper Sky’s first employee in 2008 and has worked tirelessly, overseeing countless projects and implementations for a variety of customers, ever since. Bill works hands-on with customers to ensure quality service and satisfaction as an onsite tech, assisting clients in day-to-day operations to ensure any issues or concerns are met and resolved.
Incredibly good looking & modest, Juan came to Proper Sky at the end of 2019. Juan is an A+, Security +, and the Network+ certified technician. Juan also has experience working with electronic health records and SQL databases. He really enjoys helping customers as well as his peers.
A Proper Sky newcomer, Nick's life would be forever changed at the age of 7, when he repaired an Apple IIe computer that his Dad brought home. Since then, Nick acquired an associates degree in Network Engineering and has over 20 years of experience in IT from NT on up. Nick loves helping users solve everyday tech issues and would give you the shirt off of his back. #AskHimAboutCyberPunk
When he's not studying for his security+ or eating lunch with the Colonel, Luis likes to pursue his hobby of playing chess and fixing luxury automobiles. Before joining Proper Sky, Luis studied finance at Penn State where he realized that counting bits and bytes in IT was way, way cooler than Finance.
Δ"
https://propersky.com/about/our-values/,"Every business is driven by certain principles. These are at Proper Sky’s core:
When Proper Sky launched back in April of 2006, we promised ourselves our company would be different. Every day, we work our hardest to do what’s right; for our solutions to be practical; to not only be technology experts, but to be genuinely nice to our customers; and, above all, to learn and grow as a team."
https://propersky.com/about/what-is-a-proper-sky/,"Where Did the Name “Proper Sky” Come From?
This is the question we get asked more than any other. After our CEO, Jim Smith, finished with the Peace Corps in 2006, he returned to the U.S. obsessed with the idea of starting his own business. But as many perfectionists know, naming a business is no small procedure. Whenever Jim felt he had something awe-inspiring, he’d search the US Patent Office, US Trademarks Office (whose site hasn’t been updated in at least 12 years) and NameCheap, but was left disappointed each time. It seemed all the favorable names had been claimed.
After a few frustrating days, inspiration finally struck in the form of building a digital name generator. Jim lifted various words from the dictionary, compiled them, and let the script couple words together. Once a catalog of potential names had been built, Jim checked to see if anybody owned the domains for his favorites. When the domain hadn’t been taken, he forwarded the top generated names to close friends and family for feedback.
This, however, is only a brief explanation of how Jim came up with ‘Proper Sky’. The more technological (but far more interesting) version of this story is detailed below.
Business Name Generator 1.0
Back in 2006, Jim was heavily invested in Linux and decided to write a simple Perl script to carry out his work for him. He established a 3-step criteria:
- The .com domain had to be available and financially viable.
- The name itself had to be eye-catching.
- The name also had to be fewer than 15 characters.
The first condition was simple to abide by: Jim ran the ‘whois’ command and looked for ‘No match for’. It was near enough fool-proof.
The second condition, however, presented a more interesting challenge. Most of the shorter words had already been registered by a company or an organization, so instead of looking for a single word at a time, Jim searched for two combined words instead. The search took two disparate words ($w) and ($x) from the dictionary. Once the results poured in, Jim combed through to see if $w and $x were available as .com domains. When they weren’t free, he created two entirely new variables: $y & $z, where ($y = $w + $x) and ($z = $x + $w). Ultimately, it looked something like this:
$w = chowder
$x = yummy
$y = chowderyummy
$z = yummychowder
If the letter count was fewer than 15 characters (as to follow rule 3), Jim added a ‘.com’ at the end to see if the name in question had been claimed. Eventually, all of the steps added up to a business name being generated, and an effective business name generator being created in the process.
After Jim had let the script run for a few hours, he took the generated names and culled the list down to the 10 hardest hitters. The next morning, Jim picked out the 6 names below and made logos for each of them. A Philly theme might be noticeable.
After compiling the list and making individual logos for each name, one undeniably stood out. Proper Sky – as a name and concept – truly resonated. It was emblematic of the way Jim Smith felt about technology: wide open but with fundamental rules and constructs. And on 4/11/2006, the name Proper Sky was officially registered."
https://propersky.com/alarming-statistics-about-your-business-phishing/,"Alarming Statistics About Your Business & Phishing
Alarming Statistics About Your Business & Phishing
Phishing is a fraudulent attempt at obtaining one’s sensitive information. This often includes usernames, emails, phone numbers, passwords and other similar details. It’s often done by pretending to be a trustworthy or legitimate entity in order to fool unaware users.
Here are some alarming statistics about phishing and how it affects our businesses on a regular basis.
1. 43% of data breaches were caused by internal actors
Internal actors such as IT employees are the biggest risk when it comes to data breaches.
2. Of that 43%, 21% came from unintentional actions by employees
Unintentional actions such as opening malicious emails and phishing scams caused 21% of those data breaches.
3. 68% of data breach incidents required public disclosure
If a data breach reveals sensitive data, it must be disclosed to the public. A breach can result in heavy fines if kept hidden.
4. 71.4% of targeted attacks involve spear-phishing emails and scams
Targeted attacks are often used by cybercriminals to obtain information about a company.
5. 66% of malware is installed by users clicking on malicious emails
Malicious emails are a large source of accidental malware installations that can lead to data breaches.
6. 43% of data breaches involve social engineering
Social engineering is a form of phishing that causes almost half of all recorded data breaches.
7. Over half of all registered phishing attempts are designed to steal money
Phishing is a very common tactic used to steal a victim’s money.
8. 63% of confirmed data breaches involved compromised or weak security
This includes poor cybersecurity measures, weak passwords or stolen contact details.
Sources
https://www.infosecurity-magazine.com/news/insider-threats-reponsible-for-43/
https://www.symantec.com/content/dam/symantec/docs/reports/istr-23-executive-summary-en.pdf
https://www.verizondigitalmedia.com/blog/2017/07/2017-verizon-data-breach-investigations-report/
No Comments"
